Rk,Team,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,Playoff
1,Golden State Warriors,42.8,85.1,11.3,28.9,31.5,56.2,16.6,20.3,8.4,35.1,29.3,8,7.5,15.5,19.6,113.5,Y
2,Houston Rockets,38.7,84.2,15.3,42.3,23.4,41.9,19.6,25.1,9,34.5,21.5,8.5,4.8,13.8,19.5,112.4,Y
3,New Orleans Pelicans,42.7,88.3,10.2,28.2,32.5,60.1,16.1,20.9,8.7,35.7,26.8,8,5.9,14.9,19.1,111.7,Y
4,Toronto Raptors,41.3,87.4,11.8,33,29.5,54.4,17.3,21.8,9.8,34.2,24.3,7.6,6.1,13.4,21.7,111.7,Y
5,Cleveland Cavaliers,40.4,84.8,12,32.1,28.4,52.6,18.1,23.3,8.5,33.7,23.4,7.1,3.8,13.7,18.6,110.9,Y
6,Denver Nuggets,40.7,86.6,11.5,30.9,29.2,55.7,17.1,22.3,11,33.5,25.1,7.6,4.9,15,18.7,110,N
7,Philadelphia 76ers,40.8,86.6,11,29.8,29.9,56.7,17.1,22.8,10.9,36.5,27.1,8.3,5.1,16.5,22.1,109.8,Y
8,Minnesota Timberwolves,41,86.1,8,22.5,33,63.6,19.4,24.1,10.3,31.6,22.7,8.4,4.2,12.5,18.2,109.5,Y
9,Los Angeles Clippers,40.3,85.4,9.5,26.8,30.8,58.6,19,25.5,10.1,33.7,22.3,7.7,4.5,14.7,20,109,N
10,Charlotte Hornets,39,86.7,10,27.2,28.9,59.4,20.2,27,10.1,35.4,21.6,6.8,4.5,12.7,17.2,108.2,N
11,Los Angeles Lakers,40.7,88.4,10,29.1,30.7,59.3,16.6,23.3,10.7,35.7,23.8,7.7,4.7,15.8,21.2,108.1,N
12,Oklahoma City Thunder,39.9,88.1,10.7,30.4,29.1,57.7,17.3,24.2,12.5,32.6,21.3,9.1,5,14,20.2,107.9,Y
13,Washington Wizards,39.9,85.6,9.9,26.5,30,59.1,16.8,21.8,10,33.1,25.2,7.9,4.3,14.6,21.3,106.6,Y
14,Brooklyn Nets,38.2,86.8,12.7,35.7,25.5,51.1,17.4,22.6,9.7,34.8,23.7,6.2,4.8,15.2,20.6,106.6,N
15,Milwaukee Bucks,39.7,83,8.8,24.7,31,58.3,18.3,23.4,8.4,31.5,23.2,8.8,5.4,13.8,21.4,106.5,Y
16,Portland Trail Blazers,39.3,87,10.3,28.1,29,58.8,16.7,20.9,10.2,35.3,19.5,7,5.2,13.5,19.5,105.6,Y
17,Indiana Pacers,40.8,86.4,9,24.5,31.8,61.9,14.9,19.2,9.6,32.7,22.2,8.8,4.1,13.3,18.8,105.6,Y
18,New York Knicks,40.7,87.7,8.2,23.3,32.5,64.4,14.9,19,10.5,33.6,23.3,6.7,5.1,14.7,20.5,104.5,N
19,Utah Jazz,38.3,82.9,10.8,29.6,27.5,53.3,16.8,21.5,9,34.2,22.4,8.6,5.1,14.7,19.6,104.1,Y
20,Boston Celtics,38.3,85.1,11.5,30.4,26.9,54.7,16,20.7,9.4,35.1,22.5,7.4,4.5,14,19.7,104,Y
21,Phoenix Suns,38.5,87.1,9.3,27.9,29.1,59.2,17.7,23.9,10.3,33.9,21.3,6.9,4.5,15.7,22,103.9,N
22,Detroit Pistons,39.1,86.9,10.8,28.9,28.3,58,14.7,19.8,10.1,33.6,22.8,7.7,3.9,13.5,18.4,103.8,N
23,Miami Heat,38.8,85.3,11,30.6,27.8,54.8,14.7,19.5,9.3,34.2,22.7,7.6,5.3,14.4,20.1,103.4,Y
24,Orlando Magic,38.8,85.9,10.3,29.3,28.5,56.5,15.5,20.5,8.8,32.8,23.4,7.6,4.9,14.5,19.3,103.4,N
25,Atlanta Hawks,38.2,85.5,11.2,31,27,54.5,15.8,20.2,9.1,32.8,23.7,7.8,4.2,15.6,19.6,103.4,N
26,Chicago Bulls,38.7,88.8,11,31.1,27.6,57.8,14.6,19.2,9.6,35,23.5,7.6,3.5,14,19.2,102.9,N
27,San Antonio Spurs,39,85.4,8.5,24.1,30.6,61.2,16.1,20.9,10.4,33.9,22.8,7.7,5.6,13.1,17.2,102.7,Y
28,Dallas Mavericks,38.1,85.9,11.8,32.8,26.4,53.1,14.2,18.7,8.1,33.1,22.7,7,3.8,12.3,19.2,102.3,N
29,Memphis Grizzlies,36.7,82.8,9.2,26.2,27.5,56.5,16.6,21.1,9.5,31,21.5,7.5,4.8,15,23.2,99.3,N
30,Sacramento Kings,38.8,86.1,9,24,29.8,62.1,12.3,16.7,9.5,31.4,21.6,7.8,4.1,13.7,20,98.8,N
