Rk,Team,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,Playoff
1,Golden State Warriors,41.6,87,10.8,27,30.8,60,16,20.8,10.4,34.3,27.4,9.3,6,14.5,19.9,110,Y
2,Los Angeles Clippers,39.4,83.3,10.1,26.9,29.3,56.4,17.9,25.2,9.6,33.1,24.8,7.8,5,12.3,21.3,106.7,Y
3,Dallas Mavericks,39.7,85.8,8.9,25.4,30.8,60.4,16.9,22.5,10.5,31.8,22.5,8.1,4.5,13,20,105.2,Y
4,Toronto Raptors,37.9,83.3,8.9,25.1,29,58.2,19.3,24.6,10.7,30.8,20.7,7.5,4.4,12.9,20.9,104,Y
5,Oklahoma City Thunder,38.8,86.8,7.7,22.7,31.1,64.1,18.6,24.6,12.8,34.7,20.5,7.3,5.5,14.7,22.3,104,N
6,Houston Rockets,37,83.3,11.4,32.7,25.6,50.6,18.6,26,11.7,32,22.2,9.5,5,16.7,22,103.9,Y
7,San Antonio Spurs,39.1,83.6,8.3,22.5,30.9,61.1,16.7,21.4,9.8,33.8,24.4,8,5.4,14,19.1,103.2,Y
8,Cleveland Cavaliers,37.7,82.2,10.1,27.5,27.6,54.7,17.7,23.6,11.1,31.9,22.1,7.4,4.1,14.3,18.4,103.1,Y
9,Portland Trail Blazers,38.7,86,9.8,27.2,28.9,58.8,15.5,19.4,10.7,35.1,21.9,6.4,4.5,13.6,18.2,102.8,Y
10,Atlanta Hawks,38.1,81.7,10,26.2,28.1,55.5,16.5,21.2,8.7,31.8,25.7,9.1,4.6,14.2,17.8,102.5,Y
11,Phoenix Suns,38.8,85.8,8.5,25,30.2,60.9,16.4,21.5,10.9,32.2,20.2,8.5,4.7,15.1,21.3,102.4,N
12,Denver Nuggets,37.8,87.3,8,24.8,29.7,62.5,17.8,24.3,12.3,32.4,21.8,7.8,4.5,14.2,23,101.5,N
13,Boston Celtics,38.9,87.9,8,24.6,30.9,63.3,15.4,20.5,11.1,32.7,24.5,8.2,3.6,13.8,21.2,101.4,Y
14,Sacramento Kings,36.7,80.7,5.6,16.5,31.1,64.2,22.3,29.3,10.9,33.3,20.3,6.7,4,16.3,20.7,101.3,N
15,Chicago Bulls,36.6,82.9,7.9,22.3,28.7,60.6,19.7,25.2,11.7,34,21.7,6.3,5.8,14,18.2,100.8,Y
16,New Orleans Pelicans,37.9,82.9,7.1,19.3,30.8,63.6,16.4,21.8,11.5,32,22,6.7,6.2,13.3,18.7,99.4,Y
17,Washington Wizards,38.3,82.8,6.1,16.8,32.2,66,15.9,21.4,10.5,34.2,24,7.3,4.6,15,20.8,98.5,Y
18,Detroit Pistons,37.1,85.8,8.6,24.9,28.5,60.9,15.8,22.4,12.8,32.1,21.6,7.6,4.7,13.4,19,98.5,N
19,Los Angeles Lakers,37.2,85.6,6.5,18.9,30.8,66.8,17.5,23.6,11.6,32.3,20.9,7,4.5,13.2,21.2,98.5,N
20,Memphis Grizzlies,37.8,82.5,5.2,15.2,32.6,67.3,17.6,22.8,10.4,32.1,21.7,8.5,4.2,13.3,19.1,98.3,Y
21,Brooklyn Nets,37.4,83,6.6,19.9,30.8,63.1,16.6,22.2,10.3,32,20.9,7,4.1,13.8,19.3,98,Y
22,Milwaukee Bucks,37.6,82,6.6,18.3,31,63.7,16,21.1,10.7,31.4,23.6,9.6,4.9,16.7,22.1,97.8,Y
23,Minnesota Timberwolves,36.4,83.2,5,14.9,31.5,68.3,20,25.7,11.6,29.3,21.6,8.1,4,15,19.2,97.8,N
24,Indiana Pacers,36.6,83.2,7.5,21.2,29.1,62,16.7,22.2,10.4,34.4,21.4,6.2,4.6,14,21.2,97.3,N
25,Orlando Magic,37.5,82.8,6.8,19.5,30.8,63.3,13.9,19.1,10,31.8,20.6,7.9,3.8,14.9,20.9,95.7,N
26,Utah Jazz,35.4,79.2,7.4,21.7,27.9,57.5,17,23.5,12,31.9,19.9,7.6,6,15.3,19.3,95.1,N
27,Miami Heat,35.2,77.2,6.8,20.2,28.4,57,17.5,23.7,9.1,30,19.8,7.8,4.5,14.8,20,94.7,N
28,Charlotte Hornets,35.5,84.5,6.1,19.1,29.5,65.4,17,22.8,10,34.1,20.2,6.1,5.5,11.9,18.2,94.2,N
29,Philadelphia 76ers,33.7,82.6,8.4,26.3,25.3,56.3,16.1,23.8,11.9,30.9,20.5,9.6,5.9,17.7,21.7,92,N
30,New York Knicks,35.1,82,6.8,19.7,28.3,62.3,14.8,19.2,10.6,29.8,21.3,7,4.7,14.7,21.6,91.9,N
