Testing Data Season,None,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
9to10,0.72222,0.72222,0.76471,0.76471,0.6875,0.72222,0.72222,0.76471,0.72222,0.72222,0.8125,0.72222,0.72222,0.70588,0.72222,0.72222,0.75,0.8125,0.72222,0.72222,0.72222,0.66667,0.65,0.92857
10to11,0.76471,0.76471,0.72222,0.76471,0.6875,0.76471,0.8125,0.8,0.76471,0.8,0.78571,0.76471,0.76471,0.72222,0.76471,0.75,0.8,0.78571,0.8125,0.76471,0.76471,0.73333,0.72222,0.73684
11to12,0.53333,0.625,0.53333,0.53333,0.53333,0.53333,0.53333,0.53333,0.53333,0.53333,0.53333,0.53333,0.53333,0.53333,0.53333,0.53333,0.53333,0.53333,0.53333,0.53333,0.53333,0.53333,0.53333,0.53333
12to13,0.53333,0.75,0.53333,0.53333,0.53333,0.53333,0.53333,0.53333,0.53333,0.53333,0.53333,0.53333,0.53333,0.53333,0.53333,0.53333,0.53333,0.53333,0.53333,0.53333,0.53333,0.53333,0.53333,0.53333
13to14,0.63636,0.65217,0.6087,0.625,0.6087,0.65217,0.65217,0.65217,0.65217,0.65217,0.625,0.65217,0.63636,0.63636,0.65217,0.63636,0.61905,0.63636,0.625,0.63636,0.625,0.6087,0.6087,0.6087
14to15,0.59091,0.59091,0.6087,0.59091,0.59091,0.59091,0.59091,0.66667,0.59091,0.59091,0.61905,0.59091,0.6087,0.6087,0.59091,0.6087,0.66667,0.65,0.59091,0.61905,0.59091,0.59091,0.61905,0.63636
15to16,0.63158,0.63158,0.63158,0.63158,0.63158,0.63158,0.63158,0.63158,0.63158,0.63158,0.63158,0.63158,0.65,0.68421,0.63158,0.65,0.63158,0.65,0.70588,0.63158,0.63158,0.63158,0.68421,0.63158
16to17,0.55,0.57143,0.57143,0.57143,0.57895,0.57143,0.55,0.57143,0.57143,0.57143,0.55,0.57143,0.57143,0.55,0.57143,0.57143,0.57143,0.57143,0.57143,0.57143,0.57143,0.55,0.57143,0.6
17to18,0.57895,0.57895,0.57895,0.57895,0.57895,0.57895,0.57895,0.57895,0.57895,0.57895,0.57895,0.57895,0.6,0.61111,0.57895,0.57895,0.57895,0.55556,0.57895,0.57895,0.57895,0.57895,0.55556,0.61111
