Testing Data Season,None,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
9to10,0.72222,0.0,0.04249000000000003,0.04249000000000003,-0.03471999999999997,0.0,0.0,0.04249000000000003,0.0,0.0,0.09028000000000003,0.0,0.0,-0.01633999999999991,0.0,0.0,0.027780000000000027,0.09028000000000003,0.0,0.0,0.0,-0.05554999999999999,-0.07221999999999995,0.20635000000000014
10to11,0.76471,0.0,-0.04249000000000003,0.0,-0.07721,0.0,0.04779,0.035290000000000044,0.0,0.035290000000000044,0.02100000000000002,0.0,0.0,-0.04249000000000003,0.0,-0.01471,0.035290000000000044,0.02100000000000002,0.04779,0.0,0.0,-0.031379999999999963,-0.04249000000000003,-0.02787000000000006
11to12,0.53333,0.09167000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12to13,0.53333,0.21667000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13to14,0.63636,0.01580999999999999,-0.027660000000000018,-0.011360000000000037,-0.027660000000000018,0.01580999999999999,0.01580999999999999,0.01580999999999999,0.01580999999999999,0.01580999999999999,-0.011360000000000037,0.01580999999999999,0.0,0.0,0.01580999999999999,0.0,-0.017310000000000048,0.0,-0.011360000000000037,0.0,-0.011360000000000037,-0.027660000000000018,-0.027660000000000018,-0.027660000000000018
14to15,0.59091,0.0,0.017789999999999973,0.0,0.0,0.0,0.0,0.07575999999999994,0.0,0.0,0.028139999999999943,0.0,0.017789999999999973,0.017789999999999973,0.0,0.017789999999999973,0.07575999999999994,0.059089999999999976,0.0,0.028139999999999943,0.0,0.0,0.028139999999999943,0.04544999999999999
15to16,0.63158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018419999999999992,0.052629999999999955,0.0,0.018419999999999992,0.0,0.018419999999999992,0.07430000000000003,0.0,0.0,0.0,0.052629999999999955,0.0
16to17,0.55,0.02142999999999995,0.02142999999999995,0.02142999999999995,0.02894999999999992,0.02142999999999995,0.0,0.02142999999999995,0.02142999999999995,0.02142999999999995,0.0,0.02142999999999995,0.02142999999999995,0.0,0.02142999999999995,0.02142999999999995,0.02142999999999995,0.02142999999999995,0.02142999999999995,0.02142999999999995,0.02142999999999995,0.0,0.02142999999999995,0.04999999999999993
17to18,0.57895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021050000000000013,0.03216000000000008,0.0,0.0,0.0,-0.02338999999999991,0.0,0.0,0.0,0.0,-0.02338999999999991,0.03216000000000008
Average Difference, ,0.038,0.001,0.006,-0.012,0.004,0.007,0.021,0.004,0.008,0.014,0.004,0.009,0.005,0.004,0.005,0.016,0.021,0.015,0.006,0.001,-0.013,-0.007,0.031
