Testing Data Season,None,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
9to10,0.7,0.0,-0.01578999999999997,0.014290000000000025,-0.03332999999999997,-0.03332999999999997,0.0,0.0,-0.03332999999999997,0.0,0.0,0.036839999999999984,0.0,0.036839999999999984,0.0,0.036839999999999984,-0.052939999999999876,-0.03332999999999997,-0.03332999999999997,0.005880000000000107,-0.06841999999999993,0.0,0.0,0.0
10to11,0.78571,0.0,0.0,0.0,-0.01648000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07142000000000004,-0.01648000000000005,0.0,0.0,0.0,0.0,0.0,0.0
11to12,0.8,0.0,-0.050000000000000044,0.05713999999999997,-0.050000000000000044,-0.050000000000000044,0.0,0.05713999999999997,0.0,0.05713999999999997,0.0,-0.050000000000000044,0.0,0.0,0.05713999999999997,-0.050000000000000044,-0.014290000000000025,0.0,0.0,0.05713999999999997,0.0,0.06667000000000001,0.04614999999999991,0.0
12to13,0.76471,0.0,0.013070000000000026,0.0,0.013070000000000026,0.05881999999999987,0.0,0.0,0.0,0.0,-0.01471,0.0,0.11029,0.013070000000000026,0.0,0.0,-0.05882999999999994,-0.05882999999999994,0.0,0.0,0.04779,0.0,0.0,0.0
13to14,0.625,0.011360000000000037,0.0,0.02206000000000008,0.0,0.02206000000000008,0.041669999999999985,0.041669999999999985,0.0,0.0,0.041669999999999985,0.02206000000000008,0.0,0.0,0.0,0.02206000000000008,0.0,0.0,0.02206000000000008,0.02206000000000008,0.0,0.0,0.02206000000000008,0.0
14to15,0.78571,0.0,0.06043999999999994,0.06043999999999994,0.0,0.0,-0.05237999999999998,-0.05237999999999998,-0.05237999999999998,0.0,-0.05237999999999998,0.0,0.0,0.0,0.0,0.06043999999999994,-0.01648000000000005,0.0,-0.05237999999999998,0.06043999999999994,0.06043999999999994,0.06043999999999994,0.0,-0.05237999999999998
15to16,0.58333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05303000000000002,0.0,0.0,0.0,0.0,0.0
16to17,0.625,0.0,0.0,0.0,0.0,0.0,-0.025000000000000022,0.027170000000000027,0.0,0.0,-0.025000000000000022,0.0,-0.025000000000000022,0.0,0.0,-0.01629999999999998,-0.041669999999999985,-0.01629999999999998,0.0,0.0,0.0,-0.01629999999999998,-0.01629999999999998,0.0
17to18,0.78571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014290000000000025,0.0,0.0,0.0,0.0,0.0,0.0,-0.01648000000000005,0.0,0.0,0.0,0.0
Average Difference, ,0.001,0.001,0.017,-0.01,-0.0,-0.004,0.008,-0.01,0.006,-0.006,0.001,0.011,0.006,0.006,0.006,-0.028,-0.014,-0.001,0.014,0.004,0.012,0.006,-0.006
