Testing Data Season,None,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
9to10,0.77778,-0.027780000000000027,-0.11111000000000004,-0.04094000000000009,-0.07778000000000007,-0.04094000000000009,-0.07778000000000007,-0.013070000000000026,-0.055560000000000054,0.0,-0.013070000000000026,-0.04094000000000009,-0.027780000000000027,-0.04094000000000009,-0.1462,-0.013070000000000026,0.011689999999999978
10to11,0.78571,0.0,-0.01648000000000005,-0.05237999999999998,0.0,-0.05237999999999998,-0.05237999999999998,-0.03571000000000002,-0.03571000000000002,0.0,-0.06349000000000005,0.0,0.0,0.037819999999999854,-0.09821000000000002,-0.05237999999999998,-0.03571000000000002
11to12,0.7058800000000001,-0.03921000000000008,-0.018380000000000063,0.0,0.0,0.0,0.0,-0.021670000000000078,0.04411999999999994,-0.021670000000000078,-0.10588000000000009,0.0,0.0,0.0,-0.021670000000000078,0.07982999999999996,-0.03921000000000008
12to13,0.8125,0.0,0.0,-0.04779,-0.04779,0.0,-0.09028000000000003,-0.04779,-0.04779,-0.10661999999999994,-0.125,0.0,0.0,-0.0625,-0.09028000000000003,-0.04779,0.0
13to14,0.66667,-0.016669999999999963,-0.016669999999999963,-0.030309999999999948,-0.030309999999999948,0.0,-0.014499999999999957,-0.016669999999999963,0.0,0.0,-0.035089999999999955,0.0,-0.030309999999999948,0.0,0.0,-0.030309999999999948,0.0
14to15,0.6875,0.0,0.0625,-0.07638999999999996,-0.04043999999999992,0.0,-0.0625,0.0,0.0,0.0,-0.020830000000000015,-0.09926000000000001,0.0,0.018380000000000063,-0.04043999999999992,-0.04043999999999992,0.0
15to16,0.58333,-0.044869999999999965,0.016669999999999963,-0.01811000000000007,0.025370000000000004,0.016669999999999963,0.025370000000000004,-0.006410000000000027,0.016669999999999963,0.025370000000000004,0.0,-0.023329999999999962,-0.023329999999999962,0.0,0.0,-0.01811000000000007,-0.023329999999999962
16to17,0.64,0.0,0.0,-0.015000000000000013,0.012170000000000014,-0.040000000000000036,-0.015000000000000013,-0.06308000000000002,-0.024619999999999975,-0.020950000000000024,-0.024619999999999975,-0.024619999999999975,-0.024619999999999975,0.0,-0.015000000000000013,-0.040000000000000036,-0.031299999999999994
17to18,0.78571,-0.01648000000000005,0.0,0.0,0.0,0.0,0.0,-0.01648000000000005,-0.01648000000000005,-0.03571000000000002,-0.01648000000000005,-0.05844000000000005,-0.01648000000000005,0.0,-0.01648000000000005,0.0,-0.01648000000000005
Average Difference, ,-0.016,-0.009,-0.031,-0.018,-0.013,-0.032,-0.025,-0.013,-0.018,-0.045,-0.027,-0.014,-0.005,-0.048,-0.018,-0.015
