Testing Data Season,None,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
9to10,0.63158,0.59091,0.7,0.68421,0.65,0.66667,0.66667,0.63158,0.6,0.65,0.68421,0.66667,0.61905,0.61905,0.6,0.61905,0.65,0.68421,0.65,0.59091,0.65,0.59091,0.65,0.68421
10to11,0.8,0.8,0.8125,0.85714,0.78571,0.78571,0.8,0.8,0.85714,0.85714,0.8,0.85714,0.85714,0.8,0.8,0.8125,0.70588,0.8,0.8125,0.85714,0.85714,0.8,0.85714,0.85714
11to12,0.61905,0.76923,0.70588,0.75,0.66667,0.58333,0.71429,0.66667,0.57692,0.61905,0.58333,0.56,0.56,0.66667,0.66667,0.61905,0.58333,0.57692,0.66667,0.71429,0.66667,0.58333,0.58824,0.61111
12to13,0.78571,0.64286,0.71429,0.78571,0.73333,0.75,0.71429,0.8,0.8,0.72222,0.75,0.8125,0.73333,0.70588,0.69231,0.64286,0.6875,0.73333,0.8,0.58824,0.8,0.66667,0.6875,0.75
13to14,0.73333,0.73333,0.73333,0.73333,0.73333,0.73333,0.73333,0.73333,0.6875,0.73333,0.73333,0.73333,0.73333,0.73333,0.73333,0.68421,0.73333,0.73333,0.73333,0.73333,0.73333,0.73333,0.73333,0.73333
14to15,0.78947,0.78947,0.71429,0.78947,0.75,0.78947,0.75,0.78947,0.78947,0.71429,0.78947,0.70588,0.71429,0.71429,0.66667,0.75,0.75,0.71429,0.63636,0.78947,0.78947,0.78947,0.71429,0.78947
15to16,0.52174,0.5,0.52381,0.5,0.5,0.47826,0.5,0.5,0.5,0.5,0.5,0.52381,0.5,0.5,0.52174,0.5,0.5,0.52381,0.6,0.47826,0.47826,0.52381,0.52174,0.5
16to17,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.66667,0.625,0.625,0.625,0.625,0.61111,0.625,0.625,0.55556,0.625,0.6,0.625,0.625
17to18,0.6,0.64706,0.68421,0.68421,0.68421,0.63636,0.66667,0.58824,0.66667,0.61111,0.66667,0.5,0.63636,0.65,0.61905,0.61905,0.66667,0.65,0.6,0.66667,0.61905,0.61111,0.63636,0.68421
