Testing Data Season,None,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
9to10,0.7,0.7,0.68421,0.71429,0.66667,0.66667,0.7,0.7,0.66667,0.7,0.7,0.73684,0.7,0.73684,0.7,0.73684,0.64706,0.66667,0.66667,0.70588,0.63158,0.7,0.7,0.7
10to11,0.78571,0.78571,0.78571,0.78571,0.76923,0.78571,0.78571,0.78571,0.78571,0.78571,0.78571,0.78571,0.78571,0.78571,0.78571,0.78571,0.71429,0.76923,0.78571,0.78571,0.78571,0.78571,0.78571,0.78571
11to12,0.8,0.8,0.75,0.85714,0.75,0.75,0.8,0.85714,0.8,0.85714,0.8,0.75,0.8,0.8,0.85714,0.75,0.78571,0.8,0.8,0.85714,0.8,0.86667,0.84615,0.8
12to13,0.76471,0.76471,0.77778,0.76471,0.77778,0.82353,0.76471,0.76471,0.76471,0.76471,0.75,0.76471,0.875,0.77778,0.76471,0.76471,0.70588,0.70588,0.76471,0.76471,0.8125,0.76471,0.76471,0.76471
13to14,0.625,0.63636,0.625,0.64706,0.625,0.64706,0.66667,0.66667,0.625,0.625,0.66667,0.64706,0.625,0.625,0.625,0.64706,0.625,0.625,0.64706,0.64706,0.625,0.625,0.64706,0.625
14to15,0.78571,0.78571,0.84615,0.84615,0.78571,0.78571,0.73333,0.73333,0.73333,0.78571,0.73333,0.78571,0.78571,0.78571,0.78571,0.84615,0.76923,0.78571,0.73333,0.84615,0.84615,0.84615,0.78571,0.73333
15to16,0.58333,0.58333,0.58333,0.58333,0.58333,0.58333,0.58333,0.58333,0.58333,0.58333,0.58333,0.58333,0.58333,0.58333,0.58333,0.58333,0.58333,0.58333,0.63636,0.58333,0.58333,0.58333,0.58333,0.58333
16to17,0.625,0.625,0.625,0.625,0.625,0.625,0.6,0.65217,0.625,0.625,0.6,0.625,0.6,0.625,0.625,0.6087,0.58333,0.6087,0.625,0.625,0.625,0.6087,0.6087,0.625
17to18,0.78571,0.78571,0.78571,0.78571,0.78571,0.78571,0.78571,0.78571,0.78571,0.78571,0.78571,0.78571,0.8,0.78571,0.78571,0.78571,0.78571,0.78571,0.78571,0.76923,0.78571,0.78571,0.78571,0.78571
