Testing Data Season,None,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
9to10,0.57143,0.019480000000000053,0.16190000000000004,-0.07143,-0.07143,-0.07143,-0.047619999999999996,0.019480000000000053,-0.025980000000000003,-0.025980000000000003,-0.025980000000000003,0.019480000000000053,-0.09524000000000005,0.019480000000000053,-0.025980000000000003,-0.07143,-0.07143
10to11,0.8125,0.05417000000000005,-0.012499999999999956,0.04464000000000001,0.05417000000000005,0.04464000000000001,-0.012499999999999956,0.05417000000000005,0.04464000000000001,0.0,-0.10661999999999994,-0.012499999999999956,0.020829999999999904,0.05417000000000005,0.0,-0.012499999999999956,0.0
11to12,0.58333,0.0,0.08333999999999997,-0.023329999999999962,0.08333999999999997,0.0,0.0,-0.023329999999999962,0.08333999999999997,-0.023329999999999962,0.18589999999999995,-0.023329999999999962,0.13888999999999996,-0.006410000000000027,-0.023329999999999962,-0.006410000000000027,-0.006410000000000027
12to13,0.71429,0.07142000000000004,0.05042000000000002,-0.047619999999999996,0.03571000000000002,0.007929999999999993,0.019040000000000057,0.019040000000000057,0.007929999999999993,0.05042000000000002,0.012979999999999992,0.0,-0.13534000000000002,0.007929999999999993,-0.047619999999999996,0.007929999999999993,-0.047619999999999996
13to14,0.66667,0.03921000000000008,-0.019609999999999905,-0.019609999999999905,-0.019609999999999905,0.03921000000000008,-0.019609999999999905,0.03921000000000008,0.03921000000000008,-0.07575999999999994,0.0,0.0,-0.12820999999999994,0.0,-0.019609999999999905,-0.019609999999999905,0.03921000000000008
14to15,0.55556,0.12864999999999993,0.11110999999999993,0.11110999999999993,0.06943999999999995,0.11110999999999993,0.06943999999999995,0.11110999999999993,0.11110999999999993,0.11110999999999993,-0.010110000000000063,-0.010110000000000063,0.06943999999999995,0.08079999999999998,0.08079999999999998,0.044439999999999924,0.0
15to16,0.54167,0.035250000000000004,-0.06340999999999997,0.04924000000000006,-0.06340999999999997,-0.019930000000000003,-0.06340999999999997,0.0,0.0,-0.041669999999999985,0.0,0.03727999999999998,0.0,-0.019930000000000003,-0.06340999999999997,-0.041669999999999985,-0.041669999999999985
16to17,0.71429,-0.07143,-0.07143,-0.02198,-0.07143,-0.047619999999999996,-0.02198,-0.02198,-0.02198,-0.07143,-0.15872999999999993,0.0,0.019040000000000057,-0.047619999999999996,-0.14286,-0.047619999999999996,-0.08928999999999998
17to18,0.5,-0.055560000000000054,0.07143,0.04544999999999999,-0.055560000000000054,0.0,0.07143,-0.09999999999999998,0.0,0.04544999999999999,0.0,0.0,0.04544999999999999,-0.055560000000000054,0.0,-0.055560000000000054,-0.055560000000000054
Average Difference, ,0.025,0.035,0.007,-0.004,0.007,-0.001,0.011,0.026,-0.003,-0.011,0.001,-0.007,0.004,-0.027,-0.022,-0.03
