Season,Team,Player,Salary
2017-18,Atlanta Hawks,Kent Bazemore,16910113
2017-18,Atlanta Hawks,Dennis Schroder,15500000
2017-18,Atlanta Hawks,Miles Plumlee,12500000
2017-18,Atlanta Hawks,Jamal Crawford,10942762
2017-18,Atlanta Hawks,Marco Belinelli,6306060
2017-18,Atlanta Hawks,Dewayne Dedmon,6000000
2017-18,Atlanta Hawks,Ersan Ilyasova,6000000
2017-18,Atlanta Hawks,Mike Muscala,5000000
2017-18,Atlanta Hawks,Richard Jefferson,2500000
2017-18,Atlanta Hawks,Malcolm Delaney,2500000
2017-18,Atlanta Hawks,Taurean Waller-Prince,2422560
2017-18,Atlanta Hawks,John Collins,1936920
2017-18,Atlanta Hawks,Mike Dunleavy,1662500
2017-18,Atlanta Hawks,DeAndre' Bembry,1567200
2017-18,Atlanta Hawks,Nicolas Brussino,1312611
2017-18,Atlanta Hawks,Diamond Stone,1312611
2017-18,Atlanta Hawks,Sheldon Mac,1312611
2017-18,Atlanta Hawks,Okaro White,1312611
2017-18,Atlanta Hawks,Isaiah Taylor,1312611
2017-18,Atlanta Hawks,Tyler Dorsey,815615
2017-18,Atlanta Hawks,Tyler Cavanaugh,679919
2017-18,Atlanta Hawks,Jeremy Evans,104059
2017-18,Atlanta Hawks,Quinn Cook,100000
2017-18,Atlanta Hawks,Jaylen Morris,92160
2017-18,Atlanta Hawks,Antonius Cleveland,92160
2017-18,Atlanta Hawks,Damion Lee,92160
2017-18,Atlanta Hawks,Tyler Cavanaugh,50000
2017-18,Atlanta Hawks,Jeremy Evans,50000
2017-18,Atlanta Hawks,DeAndre Liggins,26773
2017-18,Boston Celtics,Gordon Hayward,29727900
2017-18,Boston Celtics,Al Horford,27734405
2017-18,Boston Celtics,Kyrie Irving,18868625
2017-18,Boston Celtics,Jayson Tatum,5645400
2017-18,Boston Celtics,Marcus Morris,5000000
2017-18,Boston Celtics,Greg Monroe,5000000
2017-18,Boston Celtics,Jaylen Brown,4956480
2017-18,Boston Celtics,Marcus Smart,4538020
2017-18,Boston Celtics,Aron Baynes,4328000
2017-18,Boston Celtics,Guerschon Yabusele,2247480
2017-18,Boston Celtics,Terry Rozier,1988520
2017-18,Boston Celtics,Shane Larkin,1524305
2017-18,Boston Celtics,Semi Ojeleye,1291892
2017-18,Boston Celtics,Abdel Nader,1167333
2017-18,Boston Celtics,Daniel Theis,815615
2017-18,Boston Celtics,Demetrius Jackson,92858
2017-18,Boston Celtics,Jarell Eddie,83129
2017-18,Boston Celtics,Xavier Silas,74159
2017-18,Brooklyn Nets,Allen Crabbe,19332500
2017-18,Brooklyn Nets,Timofey Mozgov,15280000
2017-18,Brooklyn Nets,DeMarre Carroll,14800000
2017-18,Brooklyn Nets,Jeremy Lin,12000000
2017-18,Brooklyn Nets,D'Angelo Russell,5562360
2017-18,Brooklyn Nets,Deron Williams,5500000
2017-18,Brooklyn Nets,Jahlil Okafor,4995120
2017-18,Brooklyn Nets,Nik Stauskas,3807146
2017-18,Brooklyn Nets,Dante Cunningham,2300000
2017-18,Brooklyn Nets,Jarrett Allen,1713720
2017-18,Brooklyn Nets,Quincy Acy,1709538
2017-18,Brooklyn Nets,Caris LeVert,1632480
2017-18,Brooklyn Nets,Sean Kilpatrick,1524305
2017-18,Brooklyn Nets,Spencer Dinwiddie,1524305
2017-18,Brooklyn Nets,Joe Harris,1524305
2017-18,Brooklyn Nets,Rondae Hollis-Jefferson,1471382
2017-18,Brooklyn Nets,Isaiah Whitehead,1312611
2017-18,Brooklyn Nets,Yakuba Ouattara,50000
2017-18,Charlotte Hornets,Dwight Howard,23500000
2017-18,Charlotte Hornets,Nicolas Batum,22434783
2017-18,Charlotte Hornets,Marvin Williams,13168750
2017-18,Charlotte Hornets,Michael Kidd-Gilchrist,13000000
2017-18,Charlotte Hornets,Cody Zeller,12584270
2017-18,Charlotte Hornets,Kemba Walker,12000000
2017-18,Charlotte Hornets,Jeremy Lamb,7000000
2017-18,Charlotte Hornets,Malik Monk,2904480
2017-18,Charlotte Hornets,Frank Kaminsky,2847600
2017-18,Charlotte Hornets,Michael Carter-Williams,2700000
2017-18,Charlotte Hornets,Julyan Stone,1524305
2017-18,Charlotte Hornets,Willy Hernangomez,1435750
2017-18,Charlotte Hornets,Treveon Graham,1312611
2017-18,Charlotte Hornets,Dwayne Bacon,815615
2017-18,Chicago Bulls,Dwyane Wade,15550000
2017-18,Chicago Bulls,Robin Lopez,13788500
2017-18,Chicago Bulls,Omer Asik,10595505
2017-18,Chicago Bulls,Cristiano Felicio,7843500
2017-18,Chicago Bulls,Justin Holiday,4615385
2017-18,Chicago Bulls,Kris Dunn,4046760
2017-18,Chicago Bulls,Quincy Pondexter,3853931
2017-18,Chicago Bulls,Lauri Markkanen,3821640
2017-18,Chicago Bulls,Noah Vonleh,3505233
2017-18,Chicago Bulls,Zach LaVine,3202217
2017-18,Chicago Bulls,Rajon Rondo,3000000
2017-18,Chicago Bulls,Cameron Payne,2203440
2017-18,Chicago Bulls,Denzel Valentine,2186400
2017-18,Chicago Bulls,Tony Allen,2116955
2017-18,Chicago Bulls,Jerian Grant,1713840
2017-18,Chicago Bulls,Willie Reed,1577230
2017-18,Chicago Bulls,Bobby Portis,1516320
2017-18,Chicago Bulls,Paul Zipser,1312611
2017-18,Chicago Bulls,David Nwaba,1312611
2017-18,Chicago Bulls,Kay Felder,1312611
2017-18,Chicago Bulls,Isaiah Canaan,200000
2017-18,Chicago Bulls,Jarell Eddie,83129
2017-18,Chicago Bulls,Diamond Stone,50000
2017-18,Chicago Bulls,Jarell Eddie,17224
2017-18,Cleveland Cavaliers,LeBron James,33285709
2017-18,Cleveland Cavaliers,Kevin Love,22642350
2017-18,Cleveland Cavaliers,George Hill,20000000
2017-18,Cleveland Cavaliers,Tristan Thompson,16400000
2017-18,Cleveland Cavaliers,J.R. Smith,13760000
2017-18,Cleveland Cavaliers,Jordan Clarkson,11562500
2017-18,Cleveland Cavaliers,Kyle Korver,7000000
2017-18,Cleveland Cavaliers,Cedi Osman,2642857
2017-18,Cleveland Cavaliers,Rodney Hood,2386864
2017-18,Cleveland Cavaliers,Jose Calderon,2328652
2017-18,Cleveland Cavaliers,Jeff Green,2116955
2017-18,Cleveland Cavaliers,Ante Zizic,1645200
2017-18,Cleveland Cavaliers,Larry Nance,1471382
2017-18,Cleveland Cavaliers,Okaro White,74159
2017-18,Cleveland Cavaliers,Marcus Thornton,46080
2017-18,Dallas Mavericks,Harrison Barnes,23112004
2017-18,Dallas Mavericks,Wesley Matthews,17884176
2017-18,Dallas Mavericks,Dwight Powell,9003125
2017-18,Dallas Mavericks,Josh McRoberts,6021175
2017-18,Dallas Mavericks,Dirk Nowitzki,5000000
2017-18,Dallas Mavericks,Nerlens Noel,4187599
2017-18,Dallas Mavericks,J.J. Barea,3903900
2017-18,Dallas Mavericks,Doug McDermott,3294994
2017-18,Dallas Mavericks,Dennis Smith,3218280
2017-18,Dallas Mavericks,Seth Curry,3028410
2017-18,Dallas Mavericks,Jeff Withey,1577320
2017-18,Dallas Mavericks,Salah Mejri,1471382
2017-18,Dallas Mavericks,Dorian Finney-Smith,1312611
2017-18,Dallas Mavericks,Yogi Ferrell,1312611
2017-18,Dallas Mavericks,Maxi Kleber,815615
2017-18,Dallas Mavericks,Gal Mekel,315760
2017-18,Dallas Mavericks,Kyle Collinsworth,92160
2017-18,Dallas Mavericks,Aaron Harrison,83129
2017-18,Dallas Mavericks,Scotty Hopson,74159
2017-18,Dallas Mavericks,Kyle Collinsworth,50000
2017-18,Dallas Mavericks,Gian Clavell,50000
2017-18,Dallas Mavericks,Antonius Cleveland,50000
2017-18,Dallas Mavericks,Jameel Warney,46080
2017-18,Denver Nuggets,Paul Millsap,31269231
2017-18,Denver Nuggets,Mason Plumlee,14041096
2017-18,Denver Nuggets,Kenneth Faried,12921348
2017-18,Denver Nuggets,Wilson Chandler,12016854
2017-18,Denver Nuggets,Darrell Arthur,7464912
2017-18,Denver Nuggets,Jameer Nelson,4736050
2017-18,Denver Nuggets,Devin Harris,4402546
2017-18,Denver Nuggets,Will Barton,3533333
2017-18,Denver Nuggets,Jamal Murray,3355320
2017-18,Denver Nuggets,Gary Harris,2550055
2017-18,Denver Nuggets,Trey Lyles,2441400
2017-18,Denver Nuggets,Richard Jefferson,2328652
2017-18,Denver Nuggets,Juan Hernangomez,2076840
2017-18,Denver Nuggets,Malik Beasley,1700640
2017-18,Denver Nuggets,Tyler Lydon,1579440
2017-18,Denver Nuggets,Nikola Jokic,1471382
2017-18,Detroit Pistons,Blake Griffin,29512900
2017-18,Detroit Pistons,Andre Drummond,23775506
2017-18,Detroit Pistons,Reggie Jackson,16000000
2017-18,Detroit Pistons,Jon Leuer,10497319
2017-18,Detroit Pistons,Langston Galloway,6666667
2017-18,Detroit Pistons,Ish Smith,6000000
2017-18,Detroit Pistons,Josh Smith,5400000
2017-18,Detroit Pistons,Anthony Tolliver,3290000
2017-18,Detroit Pistons,Stanley Johnson,3097800
2017-18,Detroit Pistons,James Ennis,3028410
2017-18,Detroit Pistons,Luke Kennard,2759280
2017-18,Detroit Pistons,Reggie Bullock,2500000
2017-18,Detroit Pistons,Jameer Nelson,2262871
2017-18,Detroit Pistons,Henry Ellenson,1780800
2017-18,Detroit Pistons,Eric Moreland,1739333
2017-18,Detroit Pistons,Dwight Buycks,748160
2017-18,Detroit Pistons,Michael Gbinije,500000
2017-18,Detroit Pistons,Aaron Gray,452059
2017-18,Detroit Pistons,Luis Montero,50000
2017-18,Detroit Pistons,Beno Udrih,25000
2017-18,Golden State Warriors,Stephen Curry,34682550
2017-18,Golden State Warriors,Kevin Durant,25000000
2017-18,Golden State Warriors,Klay Thompson,17826150
2017-18,Golden State Warriors,Draymond Green,16400000
2017-18,Golden State Warriors,Andre Iguodala,14814815
2017-18,Golden State Warriors,Shaun Livingston,7692308
2017-18,Golden State Warriors,Nick Young,5192000
2017-18,Golden State Warriors,Zaza Pachulia,3477600
2017-18,Golden State Warriors,David West,2328652
2017-18,Golden State Warriors,JaVale McGee,2116955
2017-18,Golden State Warriors,Omri Casspi,2106470
2017-18,Golden State Warriors,Kevon Looney,1471382
2017-18,Golden State Warriors,Damian Jones,1312611
2017-18,Golden State Warriors,Patrick McCaw,1312611
2017-18,Golden State Warriors,Jason Thompson,945126
2017-18,Golden State Warriors,Jordan Bell,815615
2017-18,Houston Rockets,James Harden,28299399
2017-18,Houston Rockets,Chris Paul,24599495
2017-18,Houston Rockets,Ryan Anderson,19578455
2017-18,Houston Rockets,Eric Gordon,12943020
2017-18,Houston Rockets,P.J. Tucker,7590035
2017-18,Houston Rockets,Trevor Ariza,7420912
2017-18,Houston Rockets,Nene Hilario,3477600
2017-18,Houston Rockets,Tarik Black,3290000
2017-18,Houston Rockets,Clint Capela,2334520
2017-18,Houston Rockets,Luc Mbah a Moute,2116955
2017-18,Houston Rockets,Bobby Brown,1524305
2017-18,Houston Rockets,Troy Williams,1471382
2017-18,Houston Rockets,Chinanu Onuaku,1312611
2017-18,Houston Rockets,Gerald Green,947248
2017-18,Houston Rockets,Zhou Qi,815615
2017-18,Houston Rockets,Joe Johnson,749905
2017-18,Houston Rockets,Cameron Oliver,300000
2017-18,Houston Rockets,Demetrius Jackson,74159
2017-18,Houston Rockets,Isaiah Canaan,53465
2017-18,Houston Rockets,Demetrius Jackson,50000
2017-18,Houston Rockets,Briante Weber,50000
2017-18,Houston Rockets,Le'Bryan Nash,46080
2017-18,Houston Rockets,Chris Johnson,25000
2017-18,Indiana Pacers,Victor Oladipo,21000000
2017-18,Indiana Pacers,Thaddeus Young,14796348
2017-18,Indiana Pacers,Bojan Bogdanovic,10500000
2017-18,Indiana Pacers,Darren Collison,10000000
2017-18,Indiana Pacers,Al Jefferson,9769821
2017-18,Indiana Pacers,Cory Joseph,7630000
2017-18,Indiana Pacers,Lance Stephenson,4180000
2017-18,Indiana Pacers,Myles Turner,2569920
2017-18,Indiana Pacers,Domantas Sabonis,2550000
2017-18,Indiana Pacers,Monta Ellis,2245400
2017-18,Indiana Pacers,Damien Wilkins,2116955
2017-18,Indiana Pacers,T.J. Leaf,2028360
2017-18,Indiana Pacers,Glenn Robinson,1524305
2017-18,Indiana Pacers,Joe Young,1471382
2017-18,Indiana Pacers,Ike Anigbogu,950000
2017-18,Indiana Pacers,Alex Poythress,778668
2017-18,Indiana Pacers,Rakeem Christmas,172552
2017-18,Indiana Pacers,Georges Niang,100000
2017-18,Indiana Pacers,Trey McKinney-Jones,46080
2017-18,Los Angeles Clippers,DeAndre Jordan,22642350
2017-18,Los Angeles Clippers,Danilo Gallinari,20559599
2017-18,Los Angeles Clippers,Tobias Harris,16000000
2017-18,Los Angeles Clippers,Marcin Gortat,12782609
2017-18,Los Angeles Clippers,Avery Bradley,8808989
2017-18,Los Angeles Clippers,Lou Williams,7000000
2017-18,Los Angeles Clippers,Boban Marjanovic,7000000
2017-18,Los Angeles Clippers,Milos Teodosic,6000000
2017-18,Los Angeles Clippers,Wesley Johnson,5881260
2017-18,Los Angeles Clippers,Patrick Beverley,5513514
2017-18,Los Angeles Clippers,Sam Dekker,1794600
2017-18,Los Angeles Clippers,Montrezl Harrell,1471382
2017-18,Los Angeles Clippers,Paul Pierce,1096080
2017-18,Los Angeles Clippers,Jawun Evans,815615
2017-18,Los Angeles Clippers,Sindarius Thornwell,815615
2017-18,Los Angeles Clippers,Carlos Delfino,650000
2017-18,Los Angeles Clippers,Jordan Farmar,510921
2017-18,Los Angeles Clippers,Miroslav Raduljica,300000
2017-18,Los Angeles Clippers,Sean Kilpatrick,172238
2017-18,Los Angeles Clippers,Jamil Wilson,50000
2017-18,Los Angeles Lakers,Brook Lopez,22642350
2017-18,Los Angeles Lakers,Kentavious Caldwell-Pope,17745894
2017-18,Los Angeles Lakers,Luol Deng,17190000
2017-18,Los Angeles Lakers,Corey Brewer,7579366
2017-18,Los Angeles Lakers,Channing Frye,7420912
2017-18,Los Angeles Lakers,Lonzo Ball,6286560
2017-18,Los Angeles Lakers,Isaiah Thomas,6261395
2017-18,Los Angeles Lakers,Brandon Ingram,5519400
2017-18,Los Angeles Lakers,Julius Randle,4149242
2017-18,Los Angeles Lakers,Andrew Bogut,2328652
2017-18,Los Angeles Lakers,Tyler Ennis,1524305
2017-18,Los Angeles Lakers,Kyle Kuzma,1423560
2017-18,Los Angeles Lakers,Josh Hart,1394520
2017-18,Los Angeles Lakers,Ivica Zubac,1312611
2017-18,Los Angeles Lakers,Stephen Zimmerman,1312611
2017-18,Los Angeles Lakers,Thomas Bryant,815615
2017-18,Los Angeles Lakers,Travis Wear,148318
2017-18,Los Angeles Lakers,Derrick Williams,104059
2017-18,Los Angeles Lakers,V.J. Beachem,50000
2017-18,Los Angeles Lakers,Briante Weber,50000
2017-18,Los Angeles Lakers,Vander Blue,50000
2017-18,Los Angeles Lakers,Nigel Hayes,46080
2017-18,Memphis Grizzlies,Mike Conley,28530608
2017-18,Memphis Grizzlies,Chandler Parsons,23112004
2017-18,Memphis Grizzlies,Marc Gasol,22642350
2017-18,Memphis Grizzlies,JaMychal Green,8533333
2017-18,Memphis Grizzlies,Ben McLemore,5200000
2017-18,Memphis Grizzlies,Brandan Wright,5179760
2017-18,Memphis Grizzlies,Tyreke Evans,3290000
2017-18,Memphis Grizzlies,Mario Chalmers,2106407
2017-18,Memphis Grizzlies,Wade Baldwin,1874400
2017-18,Memphis Grizzlies,Jarell Martin,1471382
2017-18,Memphis Grizzlies,Brice Johnson,1331160
2017-18,Memphis Grizzlies,Deyonta Davis,1312611
2017-18,Memphis Grizzlies,Wayne Selden,1312611
2017-18,Memphis Grizzlies,Andrew Harrison,1312611
2017-18,Memphis Grizzlies,Rade Zagorac,950000
2017-18,Memphis Grizzlies,Ivan Rabb,950000
2017-18,Memphis Grizzlies,Dillon Brooks,815615
2017-18,Memphis Grizzlies,MarShon Brooks,86119
2017-18,Memphis Grizzlies,Marquis Teague,83129
2017-18,Memphis Grizzlies,Briante Weber,83129
2017-18,Memphis Grizzlies,Vince Hunter,50000
2017-18,Memphis Grizzlies,Xavier Rathan-Mayes,46080
2017-18,Miami Heat,Chris Bosh,25289390
2017-18,Miami Heat,Hassan Whiteside,23775506
2017-18,Miami Heat,Goran Dragic,17000450
2017-18,Miami Heat,James Johnson,13954000
2017-18,Miami Heat,Dion Waiters,11000000
2017-18,Miami Heat,Kelly Olynyk,10607169
2017-18,Miami Heat,Wayne Ellington,6270000
2017-18,Miami Heat,Tyler Johnson,5881260
2017-18,Miami Heat,Justise Winslow,2705040
2017-18,Miami Heat,Bam Adebayo,2490360
2017-18,Miami Heat,Dwyane Wade,2328652
2017-18,Miami Heat,Udonis Haslem,2328652
2017-18,Miami Heat,Luke Babbitt,1974159
2017-18,Miami Heat,Josh Richardson,1471382
2017-18,Miami Heat,Jordan Mickey,1471382
2017-18,Miami Heat,A.J. Hammons,1312611
2017-18,Miami Heat,Rodney McGruder,1312611
2017-18,Miami Heat,Matt Williams,50000
2017-18,Milwaukee Bucks,Giannis Antetokounmpo,22471910
2017-18,Milwaukee Bucks,Eric Bledsoe,14500000
2017-18,Milwaukee Bucks,Khris Middleton,14100000
2017-18,Milwaukee Bucks,John Henson,11422536
2017-18,Milwaukee Bucks,Mirza Teletovic,10500000
2017-18,Milwaukee Bucks,Tony Snell,9821429
2017-18,Milwaukee Bucks,Matthew Dellavedova,9607500
2017-18,Milwaukee Bucks,Jabari Parker,6782392
2017-18,Milwaukee Bucks,Spencer Hawes,6021175
2017-18,Milwaukee Bucks,Thon Maker,2684160
2017-18,Milwaukee Bucks,Jason Terry,2328652
2017-18,Milwaukee Bucks,D.J. Wilson,2135040
2017-18,Milwaukee Bucks,Larry Sanders,1865547
2017-18,Milwaukee Bucks,Tyler Zeller,1709538
2017-18,Milwaukee Bucks,DeAndre Liggins,1577230
2017-18,Milwaukee Bucks,Malcolm Brogdon,1312611
2017-18,Milwaukee Bucks,Sterling Brown,815615
2017-18,Milwaukee Bucks,Sean Kilpatrick,789725
2017-18,Milwaukee Bucks,Brandon Jennings,238020
2017-18,Milwaukee Bucks,Jalen Moore,50000
2017-18,Milwaukee Bucks,Gary Payton,50000
2017-18,Milwaukee Bucks,Joel Bolomboy,22248
2017-18,Minnesota Timberwolves,Jimmy Butler,19301070
2017-18,Minnesota Timberwolves,Jeff Teague,19000000
2017-18,Minnesota Timberwolves,Gorgui Dieng,14112360
2017-18,Minnesota Timberwolves,Taj Gibson,14000000
2017-18,Minnesota Timberwolves,Nikola Pekovic,11600000
2017-18,Minnesota Timberwolves,Andrew Wiggins,7574322
2017-18,Minnesota Timberwolves,Cole Aldrich,7300000
2017-18,Minnesota Timberwolves,Karl-Anthony Towns,6216840
2017-18,Minnesota Timberwolves,Jamal Crawford,4328000
2017-18,Minnesota Timberwolves,Nemanja Bjelica,3949999
2017-18,Minnesota Timberwolves,Justin Patton,2247480
2017-18,Minnesota Timberwolves,Aaron Brooks,2116955
2017-18,Minnesota Timberwolves,Shabazz Muhammad,1577230
2017-18,Minnesota Timberwolves,Tyus Jones,1471382
2017-18,Minnesota Timberwolves,Kevin Martin,1360305
2017-18,Minnesota Timberwolves,Marcus Georges-Hunt,1312611
2017-18,New Orleans Pelicans,Jrue Holiday,25686667
2017-18,New Orleans Pelicans,Anthony Davis,23775506
2017-18,New Orleans Pelicans,DeMarcus Cousins,18063850
2017-18,New Orleans Pelicans,Nikola Mirotic,12500000
2017-18,New Orleans Pelicans,Solomon Hill,12236535
2017-18,New Orleans Pelicans,E'Twaun Moore,8445024
2017-18,New Orleans Pelicans,Alexis Ajinca,4961798
2017-18,New Orleans Pelicans,Rajon Rondo,3300000
2017-18,New Orleans Pelicans,Josh Smith,2183934
2017-18,New Orleans Pelicans,Darius Miller,2100000
2017-18,New Orleans Pelicans,Rashad Vaughn,1889040
2017-18,New Orleans Pelicans,Ian Clark,1577230
2017-18,New Orleans Pelicans,Cheick Diallo,1312611
2017-18,New Orleans Pelicans,Frank Jackson,815615
2017-18,New Orleans Pelicans,Jordan Crawford,250000
2017-18,New Orleans Pelicans,Emeka Okafor,239204
2017-18,New Orleans Pelicans,DeAndre Liggins,172238
2017-18,New Orleans Pelicans,Larry Drew,148318
2017-18,New Orleans Pelicans,"Walt Lemon, Jr.",92160
2017-18,New Orleans Pelicans,Quinn Cook,25000
2017-18,New Orleans Pelicans,Axel Toupane,25000
2017-18,New York Knicks,Enes Kanter,20566802
2017-18,New York Knicks,Joakim Noah,17765000
2017-18,New York Knicks,Tim Hardaway,16500000
2017-18,New York Knicks,Courtney Lee,11747890
2017-18,New York Knicks,Lance Thomas,6655325
2017-18,New York Knicks,Kristaps Porzingis,4503600
2017-18,New York Knicks,Ron Baker,4328000
2017-18,New York Knicks,Kyle O'Quinn,4087500
2017-18,New York Knicks,Frank Ntilikina,3501120
2017-18,New York Knicks,Emmanuel Mudiay,3381480
2017-18,New York Knicks,Mindaugas Kuzminskas,3025035
2017-18,New York Knicks,Ramon Sessions,2328652
2017-18,New York Knicks,Jarrett Jack,2328652
2017-18,New York Knicks,Michael Beasley,2116955
2017-18,New York Knicks,Johnny O'Bryant,1524305
2017-18,New York Knicks,Chasson Randle,1312611
2017-18,New York Knicks,Damyean Dotson,1100000
2017-18,New York Knicks,Trey Burke,784160
2017-18,New York Knicks,Troy Williams,148318
2017-18,New York Knicks,Marshall Plumlee,100000
2017-18,New York Knicks,Nigel Hayes,50000
2017-18,Oklahoma City Thunder,Russell Westbrook,28530608
2017-18,Oklahoma City Thunder,Carmelo Anthony,26243760
2017-18,Oklahoma City Thunder,Steven Adams,22471910
2017-18,Oklahoma City Thunder,Paul George,19508958
2017-18,Oklahoma City Thunder,Andre Roberson,9259259
2017-18,Oklahoma City Thunder,Alex Abrines,5725000
2017-18,Oklahoma City Thunder,Patrick Patterson,5192000
2017-18,Oklahoma City Thunder,Kyle Singler,4666500
2017-18,Oklahoma City Thunder,Ronnie Price,2442455
2017-18,Oklahoma City Thunder,Nick Collison,2328652
2017-18,Oklahoma City Thunder,Raymond Felton,2328652
2017-18,Oklahoma City Thunder,Terrance Ferguson,1785000
2017-18,Oklahoma City Thunder,Jerami Grant,1524305
2017-18,Oklahoma City Thunder,Josh Huestis,1471382
2017-18,Oklahoma City Thunder,Dakari Johnson,815615
2017-18,Orlando Magic,Evan Fournier,17000000
2017-18,Orlando Magic,Bismack Biyombo,17000000
2017-18,Orlando Magic,Nikola Vucevic,12250000
2017-18,Orlando Magic,Terrence Ross,10500000
2017-18,Orlando Magic,D.J. Augustin,7250000
2017-18,Orlando Magic,Jonathon Simmons,6300000
2017-18,Orlando Magic,Shelvin Mack,6000000
2017-18,Orlando Magic,Aaron Gordon,5504420
2017-18,Orlando Magic,Jonathan Isaac,4186320
2017-18,Orlando Magic,Mario Hezonja,4078320
2017-18,Orlando Magic,Arron Afflalo,2328652
2017-18,Orlando Magic,Marreese Speights,2116955
2017-18,Orlando Magic,Wesley Iwundu,1050000
2017-18,Orlando Magic,Khem Birch,815615
2017-18,Orlando Magic,C.J. Watson,333334
2017-18,Orlando Magic,Rashad Vaughn,166258
2017-18,Orlando Magic,Rodney Purvis,92160
2017-18,Philadelphia 76ers,J.J. Redick,23000000
2017-18,Philadelphia 76ers,Robert Covington,16698103
2017-18,Philadelphia 76ers,Amir Johnson,11000000
2017-18,Philadelphia 76ers,Trevor Booker,9125000
2017-18,Philadelphia 76ers,Jerryd Bayless,9000000
2017-18,Philadelphia 76ers,Markelle Fultz,7026240
2017-18,Philadelphia 76ers,Ben Simmons,6168840
2017-18,Philadelphia 76ers,Joel Embiid,6100266
2017-18,Philadelphia 76ers,Dario Saric,2422560
2017-18,Philadelphia 76ers,Justin Anderson,1579440
2017-18,Philadelphia 76ers,Richaun Holmes,1471382
2017-18,Philadelphia 76ers,T.J. McConnell,1471382
2017-18,Philadelphia 76ers,Furkan Korkmaz,1465920
2017-18,Philadelphia 76ers,Timothe Luwawu-Cabarrot,1386600
2017-18,Philadelphia 76ers,Gerald Henderson,1000000
2017-18,Philadelphia 76ers,Marco Belinelli,776217
2017-18,Philadelphia 76ers,Ersan Ilyasova,502328
2017-18,Philadelphia 76ers,Tibor Pleiss,500000
2017-18,Philadelphia 76ers,Jacob Pullen,50000
2017-18,Philadelphia 76ers,James Michael McAdoo,50000
2017-18,Phoenix Suns,Greg Monroe,17884176
2017-18,Phoenix Suns,Brandon Knight,13618750
2017-18,Phoenix Suns,Tyson Chandler,13000000
2017-18,Phoenix Suns,Jared Dudley,10000000
2017-18,Phoenix Suns,Alan Williams,6000000
2017-18,Phoenix Suns,Josh Jackson,5090040
2017-18,Phoenix Suns,Dragan Bender,4468800
2017-18,Phoenix Suns,Alex Len,4187599
2017-18,Phoenix Suns,Troy Daniels,3408520
2017-18,Phoenix Suns,Elfrid Payton,3332340
2017-18,Phoenix Suns,T.J. Warren,3152931
2017-18,Phoenix Suns,Marquese Chriss,3073800
2017-18,Phoenix Suns,Devin Booker,2319360
2017-18,Phoenix Suns,Tyler Ulis,1312611
2017-18,Phoenix Suns,Derrick Jones,1312611
2017-18,Phoenix Suns,Isaiah Canaan,1069308
2017-18,Phoenix Suns,Davon Reed,815615
2017-18,Phoenix Suns,Leandro Barbosa,500000
2017-18,Phoenix Suns,Josh Gray,92160
2017-18,Phoenix Suns,Shaquille Harrison,92160
2017-18,Phoenix Suns,Mike James,87552
2017-18,Portland Trailblazers,Damian Lillard,26153057
2017-18,Portland Trailblazers,CJ McCollum,23962573
2017-18,Portland Trailblazers,Evan Turner,17131148
2017-18,Portland Trailblazers,Maurice Harkless,10162922
2017-18,Portland Trailblazers,Meyers Leonard,9904495
2017-18,Portland Trailblazers,Al-Farouq Aminu,7319035
2017-18,Portland Trailblazers,Ed Davis,6352531
2017-18,Portland Trailblazers,Zach Collins,3057240
2017-18,Portland Trailblazers,Jusuf Nurkic,2947305
2017-18,Portland Trailblazers,Andrew Nicholson,2844429
2017-18,Portland Trailblazers,Shabazz Napier,2361360
2017-18,Portland Trailblazers,Anderson Varejao,1913345
2017-18,Portland Trailblazers,Pat Connaughton,1471382
2017-18,Portland Trailblazers,Caleb Swanigan,1465920
2017-18,Portland Trailblazers,Jake Layman,1312611
2017-18,Portland Trailblazers,Festus Ezeli,333334
2017-18,Portland Trailblazers,Wade Baldwin,222476
2017-18,Portland Trailblazers,Brandon Rush,119602
2017-18,Portland Trailblazers,Georgios Papagiannis,74159
2017-18,Sacramento Kings,Zach Randolph,12307692
2017-18,Sacramento Kings,Iman Shumpert,10337079
2017-18,Sacramento Kings,Joe Johnson,9505000
2017-18,Sacramento Kings,Bogdan Bogdanovic,9470614
2017-18,Sacramento Kings,Kosta Koufos,8393000
2017-18,Sacramento Kings,Garrett Temple,8000000
2017-18,Sacramento Kings,Vince Carter,8000000
2017-18,Sacramento Kings,De'Aaron Fox,4609200
2017-18,Sacramento Kings,Willie Cauley-Stein,3704160
2017-18,Sacramento Kings,Buddy Hield,3675480
2017-18,Sacramento Kings,Bruno Caboclo,2451225
2017-18,Sacramento Kings,Justin Jackson,2365560
2017-18,Sacramento Kings,Georgios Papagiannis,2301360
2017-18,Sacramento Kings,Matt Barnes,2133542
2017-18,Sacramento Kings,Anthony Tolliver,2000000
2017-18,Sacramento Kings,Harry Giles,1859400
2017-18,Sacramento Kings,Arron Afflalo,1500000
2017-18,Sacramento Kings,Skal Labissiere,1312611
2017-18,Sacramento Kings,Frank Mason,1184385
2017-18,Sacramento Kings,Caron Butler,517220
2017-18,San Antonio Spurs,LaMarcus Aldridge,21461010
2017-18,San Antonio Spurs,Kawhi Leonard,18868625
2017-18,San Antonio Spurs,Pau Gasol,16000000
2017-18,San Antonio Spurs,Tony Parker,15453126
