Testing Data Season,None,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
9to10,0.9375,0.90323,0.90323,0.90323,0.90323,0.90323,0.9375,0.90323,0.90323,0.9375,0.9375,0.9375,0.9375,0.9375,0.90323,0.90323,0.9375,0.9375,0.78788,0.90323,0.90323,0.90323
10to11,0.90323,0.84848,0.84848,0.90323,0.90323,0.90323,0.90323,0.84848,0.84848,0.90323,0.90323,0.84848,0.90323,0.90323,0.84848,0.84848,0.90323,0.84848,0.56,0.90323,0.90323,0.84848
11to12,0.91429,0.82051,0.73684,0.91429,0.82051,0.91429,0.91429,0.91429,0.91429,0.82051,0.91429,0.91429,0.82051,0.91429,0.91429,0.91429,0.91429,0.82051,0.75676,0.91429,0.91429,0.82051
12to13,0.85714,0.85714,0.85714,0.85714,0.85714,0.85714,0.85714,0.85714,0.85714,0.85714,0.85714,0.85714,0.85714,0.85714,0.85714,0.85714,0.85714,0.85714,0.78788,0.85714,0.85714,0.85714
13to14,0.84848,0.78947,0.75676,0.78947,0.82353,0.78947,0.875,0.875,0.78947,0.84848,0.84848,0.78947,0.84848,0.84848,0.84848,0.84848,0.84848,0.78947,0.70968,0.84848,0.84848,0.875
14to15,0.82353,0.82353,0.82353,0.82353,0.82353,0.82353,0.82353,0.82353,0.82353,0.82353,0.82353,0.78788,0.82353,0.82353,0.82353,0.82353,0.82353,0.82353,0.7027,0.82353,0.82353,0.82353
15to16,0.78788,0.78788,0.61538,0.77419,0.77419,0.61538,0.89655,0.61111,0.85714,0.61111,0.61111,0.8,0.57143,0.65,0.61538,0.8125,0.76471,0.64865,0.61538,0.57895,0.57143,0.61111
16to17,0.84848,0.72222,0.82353,0.8125,0.78788,0.72222,0.78788,0.78788,0.8125,0.78788,0.75676,0.82353,0.82353,0.78788,0.78788,0.78788,0.72222,0.78788,0.7,0.75676,0.82353,0.72222
17to18,0.7619,0.69767,0.72727,0.69565,0.73171,0.71429,0.66667,0.69565,0.74419,0.71795,0.65116,0.72727,0.66667,0.69767,0.69767,0.66667,0.75,0.68293,0.0,0.69565,0.71795,0.73171
