Testing Data Season,None,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
9to10,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.70968,0.9697
10to11,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.41667,0.82759
11to12,0.71429,0.71429,0.71429,0.71429,0.71429,0.71429,0.71429,0.71429,0.71429,0.71429,0.71429,0.71429,0.71429,0.71429,0.71429,0.71429,0.71429,0.71429,0.71429,0.71429,0.71429,0.68966,0.82353
12to13,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.7027,0.88235
13to14,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.78947
14to15,0.68571,0.68571,0.68571,0.68571,0.68571,0.68571,0.68571,0.68571,0.68571,0.68571,0.68571,0.68571,0.68571,0.68571,0.68571,0.68571,0.68571,0.68571,0.68571,0.68571,0.68571,0.68571,0.77419
15to16,0.77778,0.77778,0.77778,0.77778,0.77778,0.77778,0.77778,0.77778,0.77778,0.77778,0.77778,0.77778,0.77778,0.77778,0.77778,0.77778,0.77778,0.77778,0.77778,0.77778,0.77778,0.71795,0.83333
16to17,0.78049,0.78049,0.78049,0.78049,0.78049,0.78049,0.78049,0.78049,0.78049,0.78049,0.78049,0.78049,0.78049,0.78049,0.78049,0.78049,0.78049,0.78049,0.78049,0.78049,0.78049,0.75,0.82051
17to18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11765
