Rk,Team,Age,MOV,SOS,Pace,Attend./G
1,San Antonio Spurs,28.9,7.72,0.28,95,18415
2,Los Angeles Clippers,28.1,6.98,0.3,95.9,19212
3,Oklahoma City Thunder,26.2,6.34,0.32,95.4,18203
4,Golden State Warriors,26.3,4.8,0.34,96.2,19596
5,Houston Rockets,25.4,4.56,0.5,96.3,18124
6,Portland Trail Blazers,25.8,3.99,0.45,94.9,19747
7,Miami Heat,30.6,4.76,-0.61,91.2,19781
8,Indiana Pacers,27.2,4.4,-0.77,92.5,17501
9,Minnesota Timberwolves,26.3,2.67,0.43,97.3,14565
10,Phoenix Suns,26.2,2.63,0.39,95.8,15872
11,Dallas Mavericks,30.6,2.4,0.5,93.5,19951
12,Toronto Raptors,25.6,3.24,-0.69,91.8,18252
13,Memphis Grizzlies,28.5,1.57,0.61,89.9,16718
14,Chicago Bulls,28.6,1.85,-0.66,90.2,21716
15,Washington Wizards,26.3,1.27,-0.79,93.2,17026
16,Atlanta Hawks,27.5,-0.48,-0.4,94.6,14231
17,Charlotte Hornets,25.5,-0.22,-0.67,92.4,15519
18,Denver Nuggets,26,-2.15,0.75,98.1,16900
19,New York Knicks,28.3,-0.79,-0.61,90.3,19812
20,Brooklyn Nets,30,-1,-0.58,91.4,17252
21,New Orleans Pelicans,24.3,-2.71,0.73,92.2,16391
22,Sacramento Kings,24.9,-2.9,0.82,94.4,16291
23,Cleveland Cavaliers,24.9,-3.29,-0.57,93.1,17330
24,Detroit Pistons,24.7,-3.66,-0.48,94.9,15025
25,Boston Celtics,25.4,-4.46,-0.51,93.3,18107
26,Los Angeles Lakers,26.8,-6.29,0.96,98.7,18829
27,Orlando Magic,24.6,-5.44,-0.44,93.6,16245
28,Utah Jazz,24.5,-7.17,0.91,91.4,18176
29,Milwaukee Bucks,24.7,-8.18,-0.23,91.8,13465
30,Philadelphia 76ers,23.4,-10.45,-0.21,99.2,13869
