Rk,Team,Age,MOV,SOS,Pace,Attend./G
1,Oklahoma City Thunder,26,9.21,-0.06,93.3,18203
2,Miami Heat,30.3,7.87,-0.84,90.7,19983
3,San Antonio Spurs,28.6,6.4,0.27,94.2,18432
4,Los Angeles Clippers,28.8,6.45,-0.02,91.1,19227
5,Denver Nuggets,26.1,5.09,0.28,95.1,17820
6,Memphis Grizzlies,27,4.15,0.18,88.4,16625
7,New York Knicks,30.2,4.23,-0.5,89.8,19033
8,Houston Rockets,24.4,3.48,0.22,96.1,16672
9,Indiana Pacers,25.7,4.02,-0.69,90.2,15270
10,Los Angeles Lakers,30.7,1.16,0.32,94.4,18997
11,Golden State Warriors,25.3,0.89,0.42,94.5,19374
12,Brooklyn Nets,28.6,1.78,-0.53,88.8,17188
13,Utah Jazz,26.3,-0.09,0.38,90.9,18632
14,Chicago Bulls,28,0.32,-0.33,89.3,21877
15,Atlanta Hawks,27.1,0.4,-0.48,92.6,15126
16,Dallas Mavericks,29.5,-0.6,0.36,94.1,20036
17,Boston Celtics,29.1,-0.22,-0.4,91.7,18624
18,Milwaukee Bucks,26.4,-1.5,-0.33,94.7,15036
19,Minnesota Timberwolves,26.4,-2.37,0.54,92.8,16340
20,Toronto Raptors,25.4,-1.48,-0.48,90.4,18145
21,Portland Trail Blazers,24.4,-3.17,0.65,91.4,19830
22,Washington Wizards,25.4,-2.54,-0.25,92.2,16343
23,New Orleans Pelicans,24,-3.87,0.75,88.5,13803
24,Philadelphia 76ers,25.2,-3.34,-0.17,91,16717
25,Sacramento Kings,25.6,-4.88,0.62,93.6,13750
26,Detroit Pistons,25.3,-3.99,-0.34,90.8,14685
27,Cleveland Cavaliers,24.1,-4.68,-0.19,92.3,16192
28,Phoenix Suns,26.9,-6.46,0.71,93.4,15437
29,Orlando Magic,24.6,-6.99,-0.14,92.2,17627
30,Charlotte Hornets,24.4,-9.23,-0.06,91.5,15324
