Rk,Team,Age,MOV,SOS,Pace,Attend./G
1,Miami Heat,29,7.46,-0.71,90.9,19779
2,Chicago Bulls,26.4,7.32,-0.79,90.4,21792
3,Los Angeles Lakers,30.2,6.11,-0.1,90.7,18997
4,San Antonio Spurs,28.8,5.71,0.16,92.3,18314
5,Orlando Magic,27.6,5.46,-0.54,91.2,18972
6,Boston Celtics,29.5,5.37,-0.54,90.4,18624
7,Denver Nuggets,27.3,4.76,0.05,95.6,16989
8,Dallas Mavericks,30.9,4.23,0.18,91.3,20102
9,Oklahoma City Thunder,23.7,3.79,0.02,92.7,18148
10,Memphis Grizzlies,25.2,2.34,0.2,91.9,14651
11,Houston Rockets,26.5,2.18,0.19,94.2,16191
12,Portland Trail Blazers,26.7,1.52,0.32,87.9,20510
13,New Orleans Pelicans,26.3,0.89,0.39,88.7,14709
14,Philadelphia 76ers,24.7,1.5,-0.5,91.7,14752
15,New York Knicks,25.3,0.78,-0.3,95.6,19729
16,Phoenix Suns,29.6,-0.89,0.43,94.4,17567
17,Milwaukee Bucks,26.7,-0.84,-0.17,89.8,15412
18,Atlanta Hawks,27.4,-0.82,-0.28,89.3,15649
19,Indiana Pacers,25.9,-1.07,-0.3,94.7,13538
20,Utah Jazz,26.8,-1.83,0.39,91,19512
21,Golden State Warriors,25.2,-2.33,0.33,94.8,18693
22,Los Angeles Clippers,24.6,-3.13,0.42,92.8,17743
23,Detroit Pistons,27.2,-3.6,-0.18,89.2,16660
24,Charlotte Hornets,26.9,-4,-0.08,89.6,15846
25,Sacramento Kings,24.8,-5.34,0.54,95.2,13890
26,Minnesota Timberwolves,23.8,-6.63,0.67,96.5,15243
27,Brooklyn Nets,24.8,-6.24,-0.04,89.9,13949
28,Toronto Raptors,24.5,-6.28,0.01,92.9,16592
29,Washington Wizards,24.9,-7.4,0.11,93.8,16792
30,Cleveland Cavaliers,26.6,-9.01,0.14,93,20112
