Rk,Team,Age,MOV,SOS,Pace,Attend./G
1,Cleveland Cavaliers,26.6,8.93,-0.25,88.7,20512
2,Boston Celtics,27.8,7.51,-0.07,90.4,18624
3,Los Angeles Lakers,27.4,7.66,-0.55,94.3,18997
4,Orlando Magic,27.3,6.7,-0.21,92.3,17043
5,Portland Trail Blazers,24,5.34,-0.35,86.6,20524
6,Houston Rockets,27.9,4,-0.27,90.2,17504
7,San Antonio Spurs,30.4,3.76,-0.4,88.4,18269
8,Denver Nuggets,27.7,3.41,-0.29,94.3,17224
9,Utah Jazz,25.5,2.65,-0.34,93.1,19903
10,Atlanta Hawks,25.8,1.57,0.13,89.6,16748
11,Dallas Mavericks,29,1.98,-0.3,91.5,20042
12,Phoenix Suns,29.5,1.93,-0.31,96,18422
13,New Orleans Pelicans,28.2,1.55,-0.14,87.8,16969
14,Miami Heat,25.6,0.26,0.23,89.9,18263
15,Philadelphia 76ers,26.1,0.07,0.09,90,15802
16,Chicago Bulls,24.9,-0.28,0.12,93.1,21187
17,Detroit Pistons,28.2,-0.49,0.13,86.7,21877
18,Indiana Pacers,26.5,-1.11,0.35,96.5,14182
19,Milwaukee Bucks,26.3,-1.09,0.21,92.6,15390
20,Charlotte Hornets,25.8,-1.27,0.07,88.3,14574
21,Brooklyn Nets,25.7,-2.44,0.13,89.9,15148
22,New York Knicks,25.7,-2.61,0.28,96.7,19288
23,Toronto Raptors,27,-2.82,0.28,92,18773
24,Golden State Warriors,25,-3.74,-0.06,98.2,18943
25,Minnesota Timberwolves,25.4,-4.91,0.18,91.6,14513
26,Memphis Grizzlies,23.3,-5.46,0.24,90.1,12680
27,Oklahoma City Thunder,24.5,-6.1,0.06,93.6,18704
28,Washington Wizards,26.9,-7.46,0.48,91,16613
29,Los Angeles Clippers,26.6,-8.77,0.3,92.1,16185
30,Sacramento Kings,26.3,-8.76,0.16,94.2,12687
