Rk,Team,Age,MOV,SOS,Pace,Attend./G
1,Golden State Warriors,26.6,10.1,-0.09,98.3,19596
2,Los Angeles Clippers,28.8,6.59,0.22,94.7,19168
3,San Antonio Spurs,29.8,6.2,0.14,93.8,18606
4,Atlanta Hawks,27.8,5.43,-0.68,93.9,17412
5,Portland Trail Blazers,27,4.23,0.18,94.2,19472
6,Cleveland Cavaliers,26.9,4.48,-0.4,92.3,20562
7,Houston Rockets,27.6,3.44,0.38,96.5,18230
8,Memphis Grizzlies,29.6,3.24,0.38,92,17329
9,Dallas Mavericks,29.9,2.9,0.46,95.2,20188
10,Chicago Bulls,28.8,3,-0.46,92.8,21625
11,Oklahoma City Thunder,25.4,2.18,0.28,95.7,18203
12,Toronto Raptors,26.1,3.07,-0.62,92.8,19752
13,New Orleans Pelicans,25.3,0.79,0.34,91.4,16677
14,Utah Jazz,23.4,0.22,0.49,90.4,18831
15,Washington Wizards,28.6,0.72,-0.55,93.7,18239
16,Milwaukee Bucks,24.6,0.43,-0.52,94.1,14813
17,Indiana Pacers,28.3,0.28,-0.51,93.2,16864
18,Phoenix Suns,25.7,-0.9,0.52,96.3,16923
19,Boston Celtics,25,0.16,-0.56,95.8,17594
20,Detroit Pistons,25.9,-1,-0.39,92.8,15266
21,Miami Heat,28.5,-2.6,-0.32,90.9,19713
22,Denver Nuggets,26.4,-3.55,0.48,96.1,14700
23,Sacramento Kings,26,-3.71,0.64,95.4,16587
24,Brooklyn Nets,28.6,-2.88,-0.25,92.7,17037
25,Charlotte Hornets,26,-3.17,-0.27,93,17192
26,Orlando Magic,24.3,-5.72,-0.15,93.8,16785
27,Los Angeles Lakers,27,-6.84,0.67,94,18738
28,Minnesota Timberwolves,24.4,-8.79,0.79,94.4,14416
29,Philadelphia 76ers,23.2,-8.98,-0.07,95.7,13941
30,New York Knicks,26.9,-9.32,-0.18,91.2,19812
