Rk,Team,Age,MOV,SOS,Pace,Attend./G
1,Orlando Magic,27.9,7.49,-0.37,92,17461
2,Cleveland Cavaliers,28,6.52,-0.36,91.4,20562
3,Utah Jazz,25.6,5.34,-0.01,93.8,19378
4,San Antonio Spurs,28.7,5.09,-0.02,91.7,18090
5,Los Angeles Lakers,28.4,4.72,0.06,92.8,18997
6,Phoenix Suns,28.5,4.9,-0.23,95.3,17648
7,Atlanta Hawks,26.5,4.66,-0.22,90.1,16546
8,Denver Nuggets,27.7,4.09,0.06,94.8,17983
9,Oklahoma City Thunder,23.2,3.49,0.06,93.1,18004
10,Boston Celtics,29.4,3.66,-0.29,91.6,18624
11,Portland Trail Blazers,26.6,3.3,-0.13,87.7,20497
12,Dallas Mavericks,30.7,2.72,-0.06,92.5,19994
13,Miami Heat,27.1,2.28,-0.29,89.6,17730
14,Milwaukee Bucks,26.4,1.7,-0.32,91.7,15109
15,Charlotte Hornets,27.4,1.46,-0.17,90.4,15818
16,Houston Rockets,26,-0.37,0.35,94,16528
17,Memphis Grizzlies,24.1,-1.51,0.13,93.6,13486
18,Chicago Bulls,26.2,-1.63,0,93.1,20726
19,Toronto Raptors,25.2,-1.78,-0.05,93.1,17897
20,New Orleans Pelicans,27.5,-2.46,0.19,92.6,15058
21,Indiana Pacers,26.6,-3.01,-0.1,97.1,14202
22,Golden State Warriors,25.1,-3.6,0.32,100.4,18027
23,Philadelphia 76ers,25.4,-3.9,-0.03,91.6,14225
24,New York Knicks,25.4,-3.82,-0.19,94,19501
25,Sacramento Kings,24.1,-4.37,0.3,94,13254
26,Washington Wizards,27.6,-4.78,0.06,91.6,16205
27,Detroit Pistons,26.7,-5.11,0.09,88.5,18752
28,Los Angeles Clippers,27.3,-6.35,0.34,92.6,16343
29,Brooklyn Nets,24.8,-9.12,0.19,91.4,13103
30,Minnesota Timberwolves,24.1,-9.6,0.54,96.1,15102
