Rk,Team,Age,MOV,SOS,Pace,Attend./G
1,Golden State Warriors,27.4,10.76,-0.38,99.3,19596
2,San Antonio Spurs,30.3,10.63,-0.36,93.8,18450
3,Oklahoma City Thunder,25.8,7.28,-0.19,96.7,18203
4,Cleveland Cavaliers,28.1,6,-0.55,93.3,20562
5,Los Angeles Clippers,29.7,4.28,-0.15,95.8,19193
6,Toronto Raptors,26.3,4.5,-0.42,92.9,19826
7,Atlanta Hawks,28.2,3.61,-0.12,97.1,16833
8,Boston Celtics,25.2,3.21,-0.37,98.5,18270
9,Charlotte Hornets,26,2.72,-0.36,95.7,17485
10,Utah Jazz,24.2,1.79,0.05,91,19305
11,Indiana Pacers,26.9,1.71,-0.09,96.6,16847
12,Miami Heat,28.4,1.65,-0.14,93.6,19740
13,Portland Trail Blazers,24.3,0.83,0.15,96,19368
14,Detroit Pistons,25,0.61,-0.18,95.1,16516
15,Houston Rockets,27.8,0.2,0.14,97.6,17982
16,Dallas Mavericks,30.3,-0.3,0.29,94.3,20144
17,Washington Wizards,27.3,-0.5,0,98.5,17693
18,Chicago Bulls,27.6,-1.48,0.01,95.7,21821
19,Orlando Magic,23.9,-1.62,-0.06,96,17515
20,Memphis Grizzlies,30.5,-2.24,0.11,93.3,17119
21,Sacramento Kings,26.6,-2.48,0.16,100,17222
22,New York Knicks,27.2,-2.73,0,93.4,19812
23,Denver Nuggets,24.7,-3.1,0.29,95.7,14095
24,Minnesota Timberwolves,24.6,-3.54,0.15,95.2,14175
25,New Orleans Pelicans,26.6,-3.79,0.24,96.8,16794
26,Milwaukee Bucks,23.5,-4.18,0.2,94.2,15166
27,Phoenix Suns,26,-6.66,0.34,98.5,17107
28,Brooklyn Nets,26.9,-7.35,0.24,95.2,15125
29,Los Angeles Lakers,26.5,-9.56,0.64,95.6,18997
30,Philadelphia 76ers,23.3,-10.23,0.31,97.9,14991
