Testing Data Season,None,3,1,2,8,15,4,7,10,13,5,11,9,12,14,6,0
9to10,0.7058800000000001,-0.22969000000000012,-0.20588000000000006,-0.09718000000000004,-0.08683000000000007,-0.11497000000000002,-0.05588000000000004,-0.021670000000000078,-0.05588000000000004,-0.05588000000000004,-0.03921000000000008,-0.03921000000000008,0.09411999999999998,-0.03921000000000008,-0.021670000000000078,0.0,0.0
10to11,0.7058800000000001,-0.11764000000000008,-0.10588000000000009,-0.021670000000000078,-0.10588000000000009,0.09411999999999998,0.09411999999999998,0.15125999999999995,0.15125999999999995,0.15125999999999995,0.15125999999999995,0.1402699999999999,0.09411999999999998,0.07982999999999996,0.09411999999999998,0.0,0.0
11to12,0.53333,-0.009519999999999973,0.01212000000000002,0.08205000000000007,0.06667000000000001,0.20000000000000007,0.15417000000000003,0.15417000000000003,0.15417000000000003,0.25238000000000005,0.20000000000000007,0.25238000000000005,0.20350999999999997,0.13334000000000001,0.13334000000000001,0.07537000000000005,0.0
12to13,0.53333,-0.01609000000000005,-0.03332999999999997,0.057580000000000076,0.07778000000000007,0.10303000000000007,0.11667000000000005,0.15088000000000001,0.20350999999999997,0.1725500000000001,0.20350999999999997,0.1725500000000001,0.23138000000000003,0.18889,0.18889,0.15088000000000001,0.0
13to14,0.63636,-0.09789999999999999,-0.08635999999999999,0.013639999999999985,-0.0047800000000000065,-0.017310000000000048,-0.017310000000000048,0.04784999999999995,0.04784999999999995,0.04784999999999995,0.045459999999999945,0.045459999999999945,0.01580999999999999,0.01580999999999999,0.01580999999999999,0.0,0.0
14to15,0.66667,-0.030309999999999948,-0.19608000000000003,-0.12122,-0.06667000000000001,-0.07843,-0.07843,-0.041669999999999985,-0.041669999999999985,-0.041669999999999985,-0.041669999999999985,-0.05555999999999994,0.03921000000000008,0.020830000000000015,0.03921000000000008,0.0,0.0
15to16,0.63158,0.0047800000000000065,-0.06015000000000004,-0.00658000000000003,0.01548000000000005,0.0,0.018419999999999992,0.018419999999999992,0.018419999999999992,0.018419999999999992,0.018419999999999992,0.10175000000000001,0.10175000000000001,0.05591999999999997,0.0,0.0,0.0
16to17,0.5,0.03846000000000005,0.06000000000000005,0.050000000000000044,0.06521999999999994,0.050000000000000044,0.050000000000000044,0.050000000000000044,0.07894999999999996,0.07894999999999996,0.07894999999999996,0.055560000000000054,0.050000000000000044,0.029410000000000047,0.02632000000000001,0.0,0.0
17to18,0.5,0.03332999999999997,0.0625,0.30000000000000004,0.23333000000000004,0.16666999999999998,0.20588000000000006,0.20588000000000006,0.22221999999999997,0.22221999999999997,0.20588000000000006,0.16666999999999998,0.14286,0.07143,0.07143,0.03846000000000005,0.0
Average Difference, ,0.0,-0.061,0.029,-0.047,0.054,0.091,0.029,0.079,0.022,0.108,0.087,0.093,0.062,0.094,0.061,0.045
