Rk,Team,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,Playoff
1,Denver Nuggets,38.4,80.6,8.1,20.8,30.3,59.9,22.7,29.6,9.6,32.3,22.1,7.4,4.3,14.1,21,107.5,Y
2,New York Knicks,38.3,83.7,9.3,25.4,29,58.4,20.6,25.5,10.3,30.1,21.4,7.6,5.8,13.7,21.3,106.5,Y
3,Houston Rockets,38.7,85.1,8.3,22.5,30.4,62.6,20.3,25.4,11.7,31.1,23.8,7.1,4.5,13.5,20,105.9,N
4,Phoenix Suns,39.3,83.5,8.5,22.6,30.7,60.8,18,23.6,10,30.2,23.7,6.6,4.4,14.3,20.3,105,N
5,Oklahoma City Thunder,37.4,80.6,5.9,17.1,31.5,63.5,24.1,29.3,11,31.8,20.4,8,5.9,14.1,22.4,104.8,Y
6,San Antonio Spurs,38.4,80.8,8.4,21.1,30,59.8,18.5,24.2,10.1,31.7,22.4,7.3,4.5,13.4,19,103.7,Y
7,Golden State Warriors,39.6,85.9,8.4,21.3,31.3,64.6,15.7,20.7,11.6,28.9,22.5,9,5,14.6,22,103.4,N
8,Miami Heat,37,76.8,6.7,18,30.3,58.8,21.5,27.9,9.6,32.5,20,6.6,5.2,13.9,20.4,102.1,Y
9,Los Angeles Lakers,38.1,82.4,6.4,18.1,31.8,64.3,18.8,24.1,12.1,31.9,22,7.3,5.1,13.1,19,101.5,Y
10,Minnesota Timberwolves,37.7,85.5,7.2,19.1,30.5,66.5,18.5,24.1,13.2,31.2,20.1,7.2,5.1,17,22.3,101.1,N
11,Dallas Mavericks,37.4,78.8,7.9,21.6,29.6,57.3,17.5,22.6,9.5,31.9,23.8,6.8,4.3,14,19.2,100.2,Y
12,Memphis Grizzlies,39,82.9,3.8,11.3,35.3,71.6,18.1,24.2,11.8,29.2,20.6,9.4,5.4,14,20.8,99.9,Y
13,Indiana Pacers,36.6,82.8,7.1,20.2,29.5,62.6,19.4,24.8,11.1,32.4,19.6,7.1,5.6,15.4,21.7,99.8,Y
14,Utah Jazz,37.4,80.4,5.3,15.3,32.1,65,19.4,25.1,11,28.5,23.4,7.7,5.9,14.3,22.7,99.4,N
15,Sacramento Kings,38.2,85.1,5.2,15.6,33,69.5,17.7,24.2,13.1,30.8,20.4,7.4,4.8,16.1,22,99.4,N
16,Orlando Magic,36,78.2,9.4,25.6,26.7,52.5,17.7,25.6,10.5,32.7,20,6.7,4.7,14.9,20,99.2,Y
17,Toronto Raptors,38.3,82.4,4.2,13.3,34.1,69.1,18.2,24.1,11.7,28.6,21.9,7.1,4.3,14.7,22,99.1,N
18,Philadelphia 76ers,38.1,82.6,5.4,15.2,32.7,67.4,17.4,22.6,10.4,31.4,22.7,7.6,4.3,13,19.4,99,Y
19,Los Angeles Clippers,36.8,80.4,6.3,18.5,30.5,61.9,18.9,26.7,11.6,30.5,22.1,7.1,4.9,16.4,21.1,98.6,N
20,Chicago Bulls,37.1,80.3,6.2,17.3,30.9,63.1,18.2,24.5,11.8,32.4,22.3,7.2,5.7,14.2,20,98.6,Y
21,Washington Wizards,37.2,84,4.8,14.4,32.4,69.6,18.2,24.4,12.4,29,19.4,8.1,6.1,15.3,22.6,97.3,N
22,Detroit Pistons,37.3,81.1,5.8,15.3,31.5,65.7,16.7,22.6,11.4,27.3,21.1,7.3,4,13,19.9,97,N
23,Boston Celtics,36.9,75.8,5,13.6,31.9,62.2,17.8,23.1,7.8,31,23.4,8.2,4.2,14.6,20.5,96.5,Y
24,Portland Trail Blazers,36,80.5,6.3,18.3,29.7,62.1,18,22.4,12.1,27.2,21.2,8,4.4,13,19.3,96.3,Y
25,Cleveland Cavaliers,35.2,81.1,6.2,18.2,29,62.9,18.9,25.3,10.4,29.9,21,6.6,4.2,14.2,20.1,95.5,N
26,Atlanta Hawks,36.2,78.4,6.1,17.4,30.1,61,16.4,21.1,9.3,30,22,6.1,4.2,13.6,19,95,Y
27,New Orleans Pelicans,35.9,78.2,5.4,15,30.5,63.2,17.7,23.1,10,30.1,20.6,7.6,4.4,13,21,94.9,Y
28,Brooklyn Nets,35.6,81,5.6,16.3,30,64.6,17.4,22.9,11.1,29.8,21,5.6,4.7,14,22,94.2,N
29,Charlotte Hornets,35,77.6,4.8,14.7,30.2,63,18.4,24.4,10.3,29.8,21.1,6.4,5.3,14.5,20,93.3,N
30,Milwaukee Bucks,34.3,79.8,5.9,17.2,28.4,62.6,17.4,22.9,10.5,30.2,18.8,7.5,4.9,13.5,20.5,91.9,N
