Rk,Team,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,Playoff
1,Denver Nuggets,40.7,85.2,6.4,18.5,34.4,66.6,18.4,26.2,13.3,31.7,24.4,9.3,6.5,15.3,20.5,106.1,Y
2,Houston Rockets,38.1,82.7,10.6,28.9,27.5,53.8,19.2,25.5,11.1,32.3,23.2,8.3,4.4,16.4,20.3,106,Y
3,Oklahoma City Thunder,38.1,79.3,7.3,19.4,30.8,60,22.2,26.8,10.4,33.2,21.4,8.3,7.6,15.3,20.2,105.7,Y
4,San Antonio Spurs,39.1,81.4,8.1,21.5,31.1,59.9,16.6,21,8.1,33.2,25.1,8.5,5.4,14.7,17.4,103,Y
5,Miami Heat,38.4,77.4,8.7,22.1,29.6,55.4,17.4,23,8.2,30.4,23,8.7,5.4,13.9,18.7,102.9,Y
6,Los Angeles Lakers,37.1,81,8.7,24.6,28.4,56.4,19.3,27.9,11.5,33.3,22.2,7,5.2,15,17.9,102.2,Y
7,Golden State Warriors,38.2,83.4,8,19.9,30.1,63.5,16.8,21.3,10.8,34.2,22.5,6.9,4.2,15.1,21.4,101.2,Y
8,Dallas Mavericks,38.8,84,7.4,19.9,31.4,64.2,16.1,20.4,9.4,32.6,23.2,7.9,5.5,14,20.7,101.1,N
9,Los Angeles Clippers,38.5,80.6,7.6,21.4,30.9,59.2,16.4,23,11.4,30.2,23.9,9.6,5.6,14.6,20.9,101.1,Y
10,Sacramento Kings,37.6,84.2,7.4,20.5,30.2,63.7,17.5,22.8,11.5,29.1,20.8,8.2,4.2,14.6,20.9,100.2,N
11,New York Knicks,36.5,81.6,10.9,28.9,25.7,52.7,16,21.1,10.9,29.7,19.3,8.2,3.6,12,20.1,100,Y
12,Milwaukee Bucks,38.1,87.8,7.3,20.4,30.8,67.4,15.3,20.7,13,30.9,22.9,8.4,6.7,14.1,19,98.9,Y
13,Utah Jazz,37.1,81.8,6.2,16.9,31,64.9,17.5,23,12.1,30,22.7,8.4,6.3,14.8,21.3,98,N
14,Atlanta Hawks,37.6,81,8.6,23.2,29,57.8,14.1,19.7,9.2,31.6,24.5,8.1,4.5,14.9,18,98,Y
15,Portland Trail Blazers,36.7,81.9,8.2,23.2,28.5,58.7,15.9,20.5,10.7,30.2,21.8,6.6,4.3,14.7,18.5,97.5,N
16,Toronto Raptors,36.3,81.5,7,20.3,29.4,61.2,17.6,22.3,10.6,29.6,21.5,7.3,4.8,13.7,22.4,97.2,N
17,Brooklyn Nets,35.9,79.8,7.7,21.5,28.2,58.3,17.5,23.9,12.8,30,20.3,7.3,4.8,14.7,18.3,96.9,Y
18,Cleveland Cavaliers,36.5,84.2,6.7,19.3,29.8,64.9,16.8,22.3,12.2,28.8,20.7,7.9,4.1,14,21.2,96.5,N
19,Minnesota Timberwolves,35.9,81.7,5.5,18,30.4,63.7,18.5,24.9,11.9,30.2,22.4,8.5,4.7,14.8,18.4,95.7,N
20,Boston Celtics,37,79.7,6.1,17.2,30.9,62.6,16.3,21,8.1,31.3,22.8,8.2,4.5,14.6,21.2,96.5,Y
21,Phoenix Suns,37.3,84.4,5.9,17.7,31.5,66.6,14.7,19.7,11.7,29.9,22.6,8,5.3,15.6,20.6,95.2,N
22,Detroit Pistons,36.3,81,6.3,17.6,30.1,63.4,15.9,22.8,12.1,30,21.2,7,4.9,15.1,19.8,94.9,N
23,Orlando Magic,37.7,84.2,6.2,18.7,31.5,65.5,12.5,16.6,10.9,31.9,22.8,6.4,4.4,14.5,19.4,94.1,N
24,New Orleans Pelicans,36,80.4,6.5,18,29.5,62.4,15.5,20,12,29.6,21,6.3,5.4,14.5,20.4,94.1,N
25,Indiana Pacers,35.1,80.6,6.9,19.7,28.3,60.8,17.6,23.6,12.9,33,20.3,7.2,6.3,15.1,20,94.7,Y
26,Charlotte Hornets,34.4,81.1,5.7,17.1,28.7,64,18.9,25.1,11.2,29.1,19.4,7.2,5.8,14.1,19,93.4,N
27,Memphis Grizzlies,36.1,81.5,4.7,13.5,31.5,68,16.5,21.3,12.9,29.8,20.9,8.6,5.3,14,20.2,93.4,Y
28,Washington Wizards,35.5,81.6,6.6,18.2,28.8,63.4,15.6,21.3,10.8,32.3,21.6,7.3,4.6,15.1,20.5,93.2,N
29,Chicago Bulls,35.7,81.7,5.4,15.4,30.2,66.3,16.4,21.2,12.5,30.7,23,7.2,5.1,14.3,19.7,93.2,Y
30,Philadelphia 76ers,37.3,84.1,6.3,17.5,31,66.5,12.2,16.8,10.9,30.4,22.8,7.4,4.7,13,18.4,93.2,N
