Rk,Team,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,Playoff
1,Phoenix Suns,41.1,81.6,6.7,17.6,34.4,64,20.4,27.5,11,30.7,23.2,7.2,5.1,15.7,20.6,109.4,N
2,Golden State Warriors,39.4,86,6.7,18,32.7,68,23.1,29.2,11.6,30.4,20.9,7.8,6.4,14.6,22.5,108.6,N
3,Los Angeles Lakers,40.3,85.1,6.7,18.5,33.7,66.6,19.6,25.5,12.4,31.5,23.3,8.8,5.1,13.5,20.7,106.9,Y
4,New York Knicks,38.5,86.5,10,27.9,28.5,58.6,18.2,23.2,11.1,31,21.2,7.4,2.5,14.3,20.4,105.2,N
5,Indiana Pacers,39.3,86.3,8,21,31.3,65.3,18.6,23,11.3,32.5,21.6,7,5.3,14.5,23.1,105.1,N
6,Denver Nuggets,37.3,79.4,6.7,18,30.6,61.4,23.1,30.3,11,30.6,22.2,8.7,6,15.3,22.9,104.3,Y
7,Utah Jazz,38.3,80.8,4.8,13.7,33.5,67.1,22.1,28.7,11.5,29.5,24.7,8.8,4.6,14.8,22.3,103.6,Y
8,Chicago Bulls,38.1,83.5,6,15.8,32.1,67.7,19.9,25,11.8,30.3,21.1,7.5,5.5,14.5,20.8,102.2,Y
9,Dallas Mavericks,38.1,82.6,7,19.9,31.2,62.7,18.5,22.6,11.1,31.6,21.7,7.2,5.2,12.7,19.5,101.7,Y
10,Orlando Magic,35.7,78.2,10,26.2,25.8,52.1,19.6,27.5,10,33.3,19.4,7,5.4,13.9,20.3,101,Y
11,Boston Celtics,37.5,77.2,6.6,16.5,30.9,60.7,19.4,25.3,10.6,31.5,22.7,7.6,4.7,15.6,23.1,100.9,Y
12,Sacramento Kings,36.5,81.5,7.1,19.4,29.3,62.1,20.5,25.7,10.2,28.9,19.7,6.9,4.3,15.4,23.3,100.6,N
13,Cleveland Cavaliers,36.9,78.7,8,20.4,28.9,58.3,18.6,24.5,10.8,31.4,20.3,7.2,5.3,12.7,20.3,100.3,Y
14,Portland Trail Blazers,36.8,79.2,7.3,19,29.5,60.2,18.5,24.2,12.9,28.8,20.3,6.7,4.9,12.9,20.4,99.4,Y
15,Milwaukee Bucks,36.7,82.4,6.2,17.2,30.5,65.2,19.7,25.2,11.9,28.9,22,7.4,3.8,14.1,24.2,99.3,N
16,Toronto Raptors,37.2,81.4,5.8,15.7,31.4,65.7,18.7,22.7,9.8,30.6,22.4,6.4,4.8,13.4,19.4,99,N
17,Houston Rockets,36.1,79.6,7.6,20.2,28.5,59.4,18.7,23.2,10.5,32.5,20.3,6.7,4.3,14.1,18.9,98.4,Y
18,Miami Heat,37,81,7.1,19.9,29.9,61.2,17.2,22.8,10.1,29.4,20.4,7.9,5.5,12.5,20.7,98.3,Y
19,Atlanta Hawks,36,78.7,7.3,19.9,28.8,58.8,18.7,25.4,10.6,29.4,20.2,7.4,4.6,12.8,19.6,98.1,Y
20,Brooklyn Nets,35.7,79.7,8,21.2,27.7,58.5,18.8,24.1,10.4,29.5,20,6.8,4.8,13.1,22.4,98.1,N
21,Minnesota Timberwolves,36.4,82.5,6.6,18.8,29.8,63.7,18.3,23.9,11.9,29.8,20.4,6.2,3.9,14.2,21.8,97.8,N
22,Philadelphia 76ers,36.5,79.7,4.2,13.1,32.4,66.6,20.1,27,12.7,28.5,20.1,8,5.1,14.1,20.1,97.4,Y
23,San Antonio Spurs,37.1,79.7,7.6,19.8,29.5,59.9,15.2,20,8.9,32.2,21.2,5.8,4,11.7,18.9,97,Y
24,Oklahoma City Thunder,36.6,81.9,4,11.6,32.6,70.3,19.8,25.2,12.2,30.5,20.3,7.4,4.5,16.2,20.2,97,N
25,Washington Wizards,36.5,81.2,4.8,14.6,31.7,66.5,18.2,23.8,11.7,28.4,20,7.5,4.5,14,20.5,96.1,N
26,New Orleans Pelicans,35.5,77.6,6.8,18.6,28.7,59,18,22.4,9.8,29.9,19.6,7.2,4.1,12.5,20.3,95.8,Y
27,Los Angeles Clippers,36,81.7,6.5,18.5,29.5,63.2,16.5,22.4,10.9,29,21,7,5.9,14.9,20.1,95.1,N
28,Detroit Pistons,36.4,80,4.6,13.2,31.8,66.8,16.9,22.5,11.6,29.9,20.6,6,4.6,11.9,20.9,94.2,Y
29,Memphis Grizzlies,34.9,77,4.9,13.5,30.1,63.5,19.1,25.3,10.3,28.5,17.4,7.5,4.7,15.3,21.7,93.9,N
30,Charlotte Hornets,35,76.8,6,16.3,29,60.5,17.7,24,10.8,28.9,21.2,7.1,4.8,15.6,21.4,93.6,N
