Rk,Team,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,Playoff
1,Denver Nuggets,39,81.9,6.6,19.9,32.4,62,19.6,26.7,11.2,31.9,24,8.2,5,15.4,19.7,104.1,Y
2,San Antonio Spurs,39.6,82.8,8.4,21.3,31.2,61.5,16.2,21.6,10.3,32.6,23.2,7.4,4.4,13.6,17.3,103.7,Y
3,Oklahoma City Thunder,37.3,79.2,7.2,20,30.2,59.3,21.3,26.4,11,32.7,18.5,7.5,8.2,16.3,20.5,103.1,Y
4,Utah Jazz,38.2,83.8,4.1,12.8,34.1,71,19.1,25.3,13,31.1,21.8,8.3,5.8,14.2,21.8,99.7,Y
5,Milwaukee Bucks,37.9,85.6,6.6,19.2,31.3,66.5,16.6,21.4,12.4,30,23.5,8.3,5.1,14.1,19.3,99,N
6,Sacramento Kings,37.7,86.5,6.2,19.7,31.5,66.8,17.1,23.2,13.4,29.5,19.3,8.5,4.9,14.4,19.5,98.8,N
7,Miami Heat,37.1,79,5.6,15.6,31.5,63.4,18.8,24.2,10.4,31.2,20,8.9,5.4,15.2,19.4,98.5,Y
8,Phoenix Suns,37.8,82.5,6.7,19.6,31.1,62.9,16,21.2,10.9,30.8,22.5,6.5,5.5,14.1,18.7,98.4,N
9,Houston Rockets,37.7,84,7.2,20.2,30.5,63.8,15.4,19.7,11.7,30.5,21.3,7.5,4.8,14.5,20.4,98.1,N
10,Minnesota Timberwolves,35.7,82.3,7.2,21.6,28.5,60.8,19.4,25.2,12.1,31.7,19.5,6.6,4.4,15.2,18.4,97.9,N
11,New York Knicks,35.8,80.8,7.8,23.3,28,57.5,18.3,24.8,11.3,30.5,20.1,9.4,4.2,16,21.1,97.8,Y
12,Golden State Warriors,37.7,82.5,7.9,20.5,29.8,62,14.4,18.7,9.7,29.5,22.3,8,5.5,13.9,21.4,97.8,N
13,Indiana Pacers,35.7,81.4,5.9,16.1,29.7,65.3,20.4,26.1,12.5,31.4,18.6,7.9,5.4,14,21.7,97.7,Y
14,Los Angeles Clippers,37,81.3,7.8,21.8,29.2,59.5,15.8,23.3,12.1,29.4,21,8.4,4.8,13.3,21.2,97.5,Y
15,Los Angeles Lakers,36.8,80.6,5.5,16.8,31.3,63.7,18.2,24.1,12.1,34.1,22.5,5.9,5.3,15.1,16.8,97.3,Y
16,Portland Trail Blazers,36.4,82.1,7.2,20.9,29.2,61.1,17.2,21.6,11.1,29.5,20.4,8,4.9,14.2,19,97.2,N
17,Atlanta Hawks,36.8,81,7.5,20.2,29.3,60.9,15.5,21,9.9,31.3,22.4,8.1,4.6,14,17.8,96.6,Y
18,Chicago Bulls,37.4,82.8,6.3,16.9,31,65.8,15.2,21.1,13.9,32.8,23.1,6.9,5.9,14,17.3,96.3,Y
19,Dallas Mavericks,36.3,82,7.5,22.2,28.8,59.8,15.6,20.2,10.1,32.7,20.9,8.6,5.1,14,18.6,95.8,Y
20,Memphis Grizzlies,36.7,82.2,4.2,12.9,32.5,69.3,17.3,22.8,12.6,29.5,19.5,9.6,5.2,14.5,19.9,95,Y
21,Orlando Magic,34.5,78.2,10.2,27,24.3,51.2,15.1,22.8,11.2,31.2,20,6.8,4.2,14.9,17.7,94.2,Y
22,Washington Wizards,36.6,83,5.2,16.3,31.4,66.7,15.3,21,11.7,29.9,19.1,8,6.3,15.3,21.3,93.6,N
23,Philadelphia 76ers,37.4,83.6,5.3,14.6,32.2,69,13.5,18.2,10.7,32.5,22,8,5.2,11.2,17.5,93.6,Y
24,Brooklyn Nets,34.3,80.6,7.7,22.4,26.6,58.2,16.9,21.7,11.9,28.5,19.9,7.5,3.9,15.1,19.2,93.1,N
25,Cleveland Cavaliers,34.3,81.2,6.7,19.3,27.6,61.9,17.8,24.9,12.7,29.5,19.8,7.1,4,15.4,20,93,N
26,Boston Celtics,35.5,77.1,5.5,15,30,62.1,15.4,19.8,7.7,31.1,23.6,7.5,5.5,14.8,19.9,91.8,Y
27,Detroit Pistons,34.7,79.3,4.8,13.9,29.9,65.4,16.6,22.1,11.7,28.5,18.7,7,4.2,15.7,19.6,90.9,N
28,Toronto Raptors,34.4,78.1,5.5,16.3,28.8,61.8,16.4,21.4,10.6,31.4,20.9,6.5,4.9,15.2,23.2,90.7,N
29,New Orleans Pelicans,34.8,77.3,3.9,11.8,30.9,65.5,16,21.2,11,30.2,20.7,7.4,4.8,15.5,20.1,89.6,N
30,Charlotte Hornets,33.2,80.2,4,13.5,29.2,66.7,16.5,22.2,10.3,28.7,20.1,6,5.5,14.5,18.9,87,N
