Rk,Team,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,Playoff
1,Golden State Warriors,42.5,87.3,13.1,31.6,29.4,55.7,16.7,21.8,10,36.2,28.9,8.4,6.1,15.2,20.7,114.9,Y
2,Oklahoma City Thunder,41.1,86.4,8.3,23.7,32.9,62.6,19.7,25.2,13.1,35.6,23,7.4,5.9,15.9,20.6,110.2,Y
3,Sacramento Kings,40,86.4,8,22.4,32,64,18.5,25.5,10.6,33.7,24.5,8.9,4.5,16.2,20.4,106.6,N
4,Houston Rockets,37.7,83.5,10.7,30.9,27,52.6,20.4,29.4,11.3,31.7,22.2,10,5.2,15.9,21.8,106.5,Y
5,Boston Celtics,39.2,89.2,8.7,26.1,30.5,63.1,18.5,23.5,11.6,33.3,24.2,9.2,4.2,13.7,21.9,105.7,Y
6,Portland Trail Blazers,38.6,85.9,10.5,28.5,28.1,57.4,17.4,23,11.6,33.9,21.3,6.9,4.6,14.6,21.7,105.1,Y
7,Los Angeles Clippers,38.3,82.4,9.7,26.7,28.6,55.7,18.2,26.2,8.8,33.3,22.8,8.6,5.6,13,21.3,104.5,Y
8,Cleveland Cavaliers,38.7,84,10.7,29.6,27.9,54.4,16.3,21.7,10.6,33.9,22.7,6.7,3.9,13.6,20.3,104.3,Y
9,Washington Wizards,39.5,85.8,8.6,24.2,30.8,61.6,16.5,22.5,9.1,32.8,24.5,8.6,3.9,14.5,20.8,104.1,N
10,San Antonio Spurs,40.1,82.9,7,18.5,33.2,64.4,16.4,20.4,9.4,34.5,24.5,8.3,5.9,13.1,17.5,103.5,Y
11,Charlotte Hornets,37,84.4,10.6,29.4,26.4,55,18.7,23.7,9,35,21.7,7.3,5.3,12.6,18.1,103.4,Y
12,Atlanta Hawks,38.6,84.4,9.9,28.4,28.7,56.1,15.6,20,8.3,33.8,25.6,9.1,5.9,15,19.1,102.8,Y
13,New Orleans Pelicans,38.5,85.9,8.6,23.8,29.9,62.1,17.3,22.2,9.5,33.1,22.2,7.7,4.2,13.4,20.9,102.7,N
14,Toronto Raptors,36.7,81.3,8.6,23.4,28,58,20.8,26.7,10.2,33.2,18.7,7.8,5.5,13.1,19.6,102.7,Y
15,Minnesota Timberwolves,37.7,81.3,5.5,16.4,32.2,64.9,21.4,27,10,31.5,23.4,8,4.6,15,20.7,102.4,N
16,Dallas Mavericks,37.4,84.1,9.8,28.6,27.5,55.6,17.7,22.3,9.2,33.9,22.1,6.8,3.7,12.8,19.5,102.3,Y
17,Indiana Pacers,38.3,85.2,8.1,23,30.2,62.1,17.4,22.8,10.3,33.9,21.2,9,4.8,14.9,20,102.2,Y
18,Orlando Magic,39.5,86.8,7.8,22.2,31.8,64.7,15.2,20.1,10.3,33,23.6,8.2,5.1,14.1,20.7,102.1,N
19,Detroit Pistons,37.9,86.4,9,26.2,28.9,60.2,17.1,25.5,12.5,33.9,19.4,7,3.7,13.5,19,102,Y
20,Denver Nuggets,37.7,85.4,8,23.7,29.7,61.7,18.5,24.1,11.5,33.1,22.7,7.4,4.8,14.7,21,101.9,N
21,Chicago Bulls,38.6,87.4,7.9,21.4,30.7,66.1,16.5,21,11.1,35.2,22.8,6,5.7,13.9,18.8,101.6,N
22,Phoenix Suns,37.2,85.6,9,25.8,28.2,59.8,17.5,23.2,11.5,33.3,20.7,7.7,3.8,17.2,22.7,100.9,N
23,Miami Heat,38.4,81.7,6.1,18,32.3,63.6,17.1,23,9.8,34.3,20.8,6.7,6.5,14.1,18.3,100,Y
24,Memphis Grizzlies,36.8,83.6,6.1,18.5,30.7,65.1,19.3,24.7,11.2,30.5,20.7,8.8,4.3,13.3,21.7,99.1,Y
25,Milwaukee Bucks,38.4,82.2,5.4,15.6,33,66.6,17,22.7,10.5,31.2,23.1,8.2,5.8,15.2,20.7,99,N
26,Brooklyn Nets,38.2,84.4,6.5,18.4,31.8,66,15.7,20.7,10.5,31.9,22.3,7.6,4,14.8,18,98.6,N
27,New York Knicks,36.9,84,7.4,21.5,29.4,62.5,17.2,21.4,10.4,34,20.5,5.7,5.7,13.4,19.7,98.4,N
28,Utah Jazz,36.1,80.4,8.5,23.9,27.6,56.5,17.1,23,10.7,32.5,19,7.7,5.2,14.9,20.2,97.7,N
29,Philadelphia 76ers,36.2,84,9.3,27.5,26.9,56.5,15.7,22.6,9.5,31.8,21.5,8.3,6,16.4,21.7,97.4,N
30,Los Angeles Lakers,35.1,84.8,7.8,24.6,27.3,60.2,19.3,24.7,10.7,32.3,18,7.2,4.1,13.7,20.3,97.3,N
