Testing Data Season,None,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
9to10,0.72727,0.0,0.0,0.022730000000000028,-0.06059999999999999,0.0,0.03744000000000003,0.015590000000000104,0.0,0.022730000000000028,0.07273000000000007,0.0,-0.06059999999999999,-0.03760999999999992,0.0,0.022730000000000028,-0.06059999999999999
10to11,0.72727,0.0,-0.02138999999999991,-0.02138999999999991,-0.10658000000000001,0.0,0.0,0.04691999999999996,0.0,-0.02138999999999991,-0.06059999999999999,0.0,0.0,0.03744000000000003,0.0,0.0,-0.005049999999999999
11to12,0.69565,0.022299999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12to13,0.69565,0.047210000000000085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13to14,0.7368399999999999,0.0,0.03239000000000003,0.0,0.0,0.0,0.0,0.03239000000000003,0.0,0.0,0.03239000000000003,0.0,-0.03413999999999995,0.0,0.0,0.0,-0.07016999999999995
14to15,0.7058800000000001,0.0,0.02138999999999991,-0.02017000000000002,-0.057230000000000114,0.0,0.0,0.02138999999999991,0.0,0.0,0.0037999999999999146,0.0,0.03698000000000001,0.03698000000000001,0.0,0.0037999999999999146,-0.03921000000000008
15to16,0.68571,0.0,0.0,-0.05714000000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019040000000000057,0.0,-0.019040000000000057,0.0
16to17,0.52941,0.0,-0.015120000000000133,-0.015120000000000133,0.03308999999999995,0.0,0.0,0.042019999999999946,0.0,0.0,0.0,0.0,0.016039999999999943,0.042019999999999946,0.0,0.03308999999999995,-0.029410000000000047
17to18,0.42857,0.054190000000000016,0.0,0.032969999999999944,0.054190000000000016,0.054190000000000016,0.054190000000000016,0.10475999999999996,0.054190000000000016,0.0,0.054190000000000016,0.054190000000000016,0.08755999999999997,0.0,0.054190000000000016,-0.014780000000000015,0.10475999999999996
Average Difference, ,0.014,0.002,-0.006,-0.015,0.006,0.01,0.029,0.006,0.0,0.011,0.006,0.005,0.007,0.006,0.003,-0.011
