Testing Data Season,None,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
9to10,0.8235299999999999,0.009800000000000031,-0.06676999999999988,-0.02352999999999983,-0.045749999999999846,-0.02352999999999983,-0.045749999999999846,-0.03564999999999985,-0.05881999999999987,0.0,-0.03564999999999985,-0.02352999999999983,-0.07352999999999987,-0.02352999999999983,-0.13781999999999983,-0.03564999999999985,0.03361000000000014
10to11,0.73333,0.0,-0.04366999999999999,-0.02365000000000006,0.0,-0.02365000000000006,-0.02365000000000006,0.016669999999999963,0.016669999999999963,0.0,0.031379999999999963,0.0,0.0,0.11514999999999986,-0.04583000000000004,-0.02365000000000006,0.016669999999999963
11to12,0.72727,-0.02138999999999991,-0.03976999999999997,0.0,0.0,0.0,0.0,0.015590000000000104,0.022730000000000028,0.015590000000000104,-0.14661999999999997,0.0,0.0,0.0,0.015590000000000104,0.006060000000000065,-0.02138999999999991
12to13,0.8125,0.0,0.0,-0.024619999999999975,-0.024619999999999975,0.0,-0.04779,-0.024619999999999975,-0.024619999999999975,-0.08523000000000003,-0.125,0.0,0.0,-0.0625,-0.04779,-0.024619999999999975,0.0
13to14,0.75676,-0.034540000000000015,-0.034540000000000015,-0.01992000000000005,-0.01992000000000005,0.0,0.012469999999999981,-0.034540000000000015,0.0,0.0,-0.07104999999999995,0.0,-0.01992000000000005,0.0,0.0,-0.01992000000000005,0.0
14to15,0.6875,0.0,0.0625,-0.04043999999999992,-0.020830000000000015,0.0,-0.0625,0.0,0.0,0.0,-0.04233999999999993,-0.08143999999999996,0.0,0.03976999999999997,-0.020830000000000015,-0.020830000000000015,0.0
15to16,0.7,-0.03332999999999997,0.03171000000000013,-0.03332999999999997,0.01795000000000002,0.03171000000000013,0.01795000000000002,0.014290000000000025,0.03171000000000013,0.01795000000000002,0.0,-0.01706999999999992,-0.01706999999999992,0.0,0.0,-0.03332999999999997,-0.01706999999999992
16to17,0.78049,0.0,0.0,-0.030490000000000017,-0.011260000000000048,-0.048779999999999935,-0.030490000000000017,-0.06620000000000004,-0.018589999999999995,-0.07779000000000003,-0.018589999999999995,-0.018589999999999995,-0.018589999999999995,0.0,-0.030490000000000017,-0.048779999999999935,-0.06254000000000004
17to18,0.73333,-0.04366999999999999,0.0,0.0,0.0,0.0,0.0,-0.04366999999999999,-0.04366999999999999,-0.09047000000000005,-0.04366999999999999,-0.1407400000000001,-0.04366999999999999,0.0,-0.04366999999999999,0.0,-0.04366999999999999
Average Difference,0,-0.014,-0.01,-0.022,-0.012,-0.007,-0.02,-0.018,-0.008,-0.024,-0.05,-0.031,-0.019,0.008,-0.035,-0.022,-0.01
