Testing Data Season,None,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
9to10,0.72727,0.72727,0.72727,0.75,0.66667,0.72727,0.76471,0.74286,0.72727,0.75,0.8,0.72727,0.66667,0.68966,0.72727,0.75,0.66667
10to11,0.72727,0.72727,0.70588,0.70588,0.62069,0.72727,0.72727,0.77419,0.72727,0.70588,0.66667,0.72727,0.72727,0.76471,0.72727,0.72727,0.72222
11to12,0.69565,0.71795,0.69565,0.69565,0.69565,0.69565,0.69565,0.69565,0.69565,0.69565,0.69565,0.69565,0.69565,0.69565,0.69565,0.69565,0.69565
12to13,0.69565,0.74286,0.69565,0.69565,0.69565,0.69565,0.69565,0.69565,0.69565,0.69565,0.69565,0.69565,0.69565,0.69565,0.69565,0.69565,0.69565
13to14,0.73684,0.73684,0.76923,0.73684,0.73684,0.73684,0.73684,0.76923,0.73684,0.73684,0.76923,0.73684,0.7027,0.73684,0.73684,0.73684,0.66667
14to15,0.70588,0.70588,0.72727,0.68571,0.64865,0.70588,0.70588,0.72727,0.70588,0.70588,0.70968,0.70588,0.74286,0.74286,0.70588,0.70968,0.66667
15to16,0.68571,0.68571,0.68571,0.62857,0.68571,0.68571,0.68571,0.68571,0.68571,0.68571,0.68571,0.68571,0.68571,0.66667,0.68571,0.66667,0.68571
16to17,0.52941,0.52941,0.51429,0.51429,0.5625,0.52941,0.52941,0.57143,0.52941,0.52941,0.52941,0.52941,0.54545,0.57143,0.52941,0.5625,0.5
17to18,0.42857,0.48276,0.42857,0.46154,0.48276,0.48276,0.48276,0.53333,0.48276,0.42857,0.48276,0.48276,0.51613,0.42857,0.48276,0.41379,0.53333
