Testing Data Season,None,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
9to10,0.57895,0.64865,0.8125,0.59459,0.54054,0.57895,0.68421,0.57895,0.63158,0.63158,0.63158,0.68421,0.68421,0.59459,0.63158,0.63158,0.57895
10to11,0.8125,0.8,0.78571,0.77419,0.8125,0.77419,0.83871,0.8125,0.83871,0.8125,0.76471,0.8125,0.83871,0.8,0.78788,0.71429,0.75862
11to12,0.7,0.71429,0.7,0.75676,0.71429,0.75676,0.68293,0.7,0.7,0.68293,0.75,0.75676,0.68571,0.75676,0.75676,0.64865,0.75676
12to13,0.76471,0.78788,0.66667,0.78788,0.70968,0.64516,0.66667,0.78788,0.72727,0.64516,0.53846,0.72727,0.54545,0.73333,0.66667,0.75,0.72727
13to14,0.66667,0.66667,0.66667,0.66667,0.72727,0.72727,0.66667,0.70588,0.70588,0.75,0.70588,0.66667,0.6875,0.70588,0.70588,0.72727,0.70588
14to15,0.64516,0.64706,0.57143,0.53846,0.53846,0.53846,0.64516,0.64516,0.625,0.625,0.51852,0.64516,0.5,0.51852,0.625,0.51852,0.51852
15to16,0.6,0.61538,0.5641,0.61111,0.61538,0.65,0.68293,0.5641,0.61538,0.65,0.5641,0.64865,0.68293,0.6,0.65,0.6,0.65
16to17,0.62069,0.62069,0.64516,0.6,0.64516,0.66667,0.6,0.62069,0.6,0.62069,0.64706,0.64516,0.625,0.6,0.55172,0.64516,0.625
17to18,0.34783,0.32,0.44444,0.32,0.32,0.38462,0.4,0.30769,0.32,0.44444,0.38462,0.38462,0.38462,0.34783,0.32,0.32,0.38462
