Testing Data Season,None,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
9to10,0.57895,0.06969999999999998,0.23355000000000004,0.015639999999999987,-0.038410000000000055,0.0,0.10526000000000002,0.0,0.052630000000000066,0.052630000000000066,0.052630000000000066,0.10526000000000002,0.10526000000000002,0.015639999999999987,0.052630000000000066,0.052630000000000066,0.0
10to11,0.8125,-0.012499999999999956,-0.02678999999999998,-0.038310000000000066,0.0,-0.038310000000000066,0.026210000000000067,0.0,0.026210000000000067,0.0,-0.04779,0.0,0.026210000000000067,-0.012499999999999956,-0.024619999999999975,-0.09821000000000002,-0.05388000000000004
11to12,0.7,0.014290000000000025,0.0,0.05676000000000003,0.014290000000000025,0.05676000000000003,-0.01706999999999992,0.0,0.0,-0.01706999999999992,0.050000000000000044,0.05676000000000003,-0.014289999999999914,0.05676000000000003,0.05676000000000003,-0.05135000000000001,0.05676000000000003
12to13,0.76471,0.023170000000000024,-0.09804000000000002,0.023170000000000024,-0.05503000000000002,-0.11954999999999993,-0.09804000000000002,0.023170000000000024,-0.03744000000000003,-0.11954999999999993,-0.22624999999999995,-0.03744000000000003,-0.21926,-0.031379999999999963,-0.09804000000000002,-0.01471,-0.03744000000000003
13to14,0.66667,0.0,0.0,0.0,0.06059999999999999,0.06059999999999999,0.0,0.03921000000000008,0.03921000000000008,0.08333000000000002,0.03921000000000008,0.0,0.020830000000000015,0.03921000000000008,0.03921000000000008,0.06059999999999999,0.03921000000000008
14to15,0.6451600000000001,0.0019000000000000128,-0.07373000000000007,-0.10670000000000002,-0.10670000000000002,-0.10670000000000002,0.0,0.0,-0.020160000000000067,-0.020160000000000067,-0.12664000000000009,0.0,-0.14516000000000007,-0.12664000000000009,-0.020160000000000067,-0.12664000000000009,-0.12664000000000009
15to16,0.6,0.01538000000000006,-0.03589999999999993,0.011110000000000064,0.01538000000000006,0.050000000000000044,0.08293000000000006,-0.03589999999999993,0.01538000000000006,0.050000000000000044,-0.03589999999999993,0.04864999999999997,0.08293000000000006,0.0,0.050000000000000044,0.0,0.050000000000000044
16to17,0.62069,0.0,0.024470000000000103,-0.020689999999999986,0.024470000000000103,0.04598000000000002,-0.020689999999999986,0.0,-0.020689999999999986,0.0,0.026370000000000116,0.024470000000000103,0.004310000000000036,-0.020689999999999986,-0.06896999999999998,0.024470000000000103,0.004310000000000036
17to18,0.34783000000000003,-0.02783000000000002,0.09660999999999992,-0.02783000000000002,-0.02783000000000002,0.036789999999999934,0.052169999999999994,-0.04014000000000001,-0.02783000000000002,0.09660999999999992,0.036789999999999934,0.036789999999999934,0.036789999999999934,0.0,-0.02783000000000002,-0.02783000000000002,0.036789999999999934
Average Difference, ,0.009,0.013,-0.01,-0.013,-0.002,0.015,-0.002,0.003,0.014,-0.026,0.026,-0.011,-0.009,-0.005,-0.02,-0.003
