,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
0,43,Mike Bibby\bibbymi01,PG,30,ATL,79,79,34.7,5.5,12.7,0.435,2.1,5.4,0.39,3.4,7.3,0.46799999999999997,0.518,1.7,2.2,0.789,0.5,3.0,3.5,5.0,1.2,0.1,1.6,1.8,14.9
1,84,Speedy Claxton\claxtsp01,PG,30,ATL,2,0,7.5,1.0,3.5,0.28600000000000003,0.0,0.0,,1.0,3.5,0.28600000000000003,0.28600000000000003,0.5,1.0,0.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.5,2.5
2,126,Maurice Evans\evansma01,SF,30,ATL,80,25,23.0,2.6,6.0,0.43200000000000005,1.2,3.1,0.395,1.4,2.9,0.47,0.5329999999999999,0.8,0.9,0.8220000000000001,1.1,1.9,3.0,0.7,0.6,0.1,0.5,2.0,7.2
3,143,Thomas Gardner\gardnth01,SG,23,ATL,16,0,6.1,0.6,2.3,0.25,0.3,1.4,0.174,0.3,0.8,0.385,0.306,0.1,0.3,0.5,0.0,0.4,0.4,0.1,0.3,0.1,0.2,0.3,1.5
4,189,Al Horford\horfoal01,C,22,ATL,67,67,33.5,4.7,8.9,0.525,0.0,0.0,0.0,4.7,8.9,0.526,0.525,2.2,3.1,0.727,2.2,7.1,9.3,2.4,0.8,1.4,1.5,2.8,11.5
5,197,Othello Hunter\hunteot01,PF,22,ATL,16,0,5.8,0.7,1.3,0.55,0.0,0.0,,0.7,1.3,0.55,0.55,0.0,0.3,0.0,0.6,0.9,1.5,0.1,0.1,0.3,0.1,0.7,1.4
6,220,Joe Johnson\johnsjo02,SG,27,ATL,79,79,39.5,7.8,18.0,0.43700000000000006,1.9,5.2,0.36,6.0,12.7,0.46799999999999997,0.489,3.8,4.6,0.826,0.8,3.6,4.4,5.8,1.1,0.2,2.5,2.2,21.4
7,228,Solomon Jones\jonesso01,C,24,ATL,63,0,10.7,1.1,1.8,0.604,0.0,0.0,0.5,1.0,1.7,0.606,0.608,0.8,1.2,0.716,0.8,1.4,2.3,0.2,0.1,0.5,0.4,2.0,3.0
8,242,Acie Law\lawac01,PG,24,ATL,55,1,10.2,0.9,2.5,0.374,0.2,0.5,0.31,0.8,2.0,0.391,0.406,0.9,1.1,0.8170000000000001,0.1,0.9,1.1,1.6,0.2,0.1,0.5,0.8,2.9
9,288,Randolph Morris\morrira01,C,23,ATL,23,0,3.9,0.3,0.7,0.41200000000000003,0.0,0.0,,0.3,0.7,0.41200000000000003,0.41200000000000003,0.2,0.2,1.0,0.2,0.7,0.9,0.1,0.1,0.0,0.3,1.1,0.8
